"error" "lambda"
"1" 0.72836 "0.7"
"2" 0.68036 "0.7"
"3" 0.72727 "0.7"
"4" 0.72940 "0.7"
"5" 0.69898 "0.7"
"6" 0.71293 "0.7"
"7" 0.72674 "0.7"
"8" 0.71247 "0.7"
"9" 0.70188 "0.7"
"10" 0.72772 "0.7"
"11" 0.70528 "0.7"
"12" 0.72662 "0.7"
"13" 0.70391 "0.7"
"14" 0.71015 "0.7"
"15" 0.72882 "0.7"
"16" 0.69797 "0.7"
"17" 0.66672 "0.7"
"18" 0.71999 "0.7"
"19" 0.71050 "0.7"
"20" 0.71634 "0.7"
"21" 0.71153 "0.7"
"22" 0.69187 "0.7"
"23" 0.73727 "0.7"
"24" 0.68318 "0.7"
"25" 0.68414 "0.7"
"26" 0.72105 "0.7"
"27" 0.74156 "0.7"
"28" 0.67360 "0.7"
"29" 0.71896 "0.7"
"30" 0.69534 "0.7"
"31" 0.68359 "0.7"
"32" 0.67269 "0.7"
"33" 0.72800 "0.7"
"34" 0.69543 "0.7"
"35" 0.74020 "0.7"
"36" 0.72274 "0.7"
"37" 0.69222 "0.7"
"38" 0.70378 "0.7"
"39" 0.69250 "0.7"
"40" 0.70332 "0.7"
"41" 0.68619 "0.7"
"42" 0.71564 "0.7"
"43" 0.67758 "0.7"
"44" 0.73775 "0.7"
"45" 0.65784 "0.7"
"46" 0.64899 "0.7"
"47" 0.70128 "0.7"
"48" 0.71565 "0.7"
"49" 0.67930 "0.7"
"50" 0.74002 "0.7"
"51" 0.73265 "0.7"
"52" 0.66335 "0.7"
"53" 0.72648 "0.7"
"54" 0.73103 "0.7"
"55" 0.70640 "0.7"
"56" 0.70328 "0.7"
"57" 0.71026 "0.7"
"58" 0.67019 "0.7"
"59" 0.70295 "0.7"
"60" 0.72354 "0.7"
"61" 0.67999 "0.7"
"62" 0.66945 "0.7"
"63" 0.70558 "0.7"
"64" 0.66713 "0.7"
"65" 0.67930 "0.7"
"66" 0.73248 "0.7"
"67" 0.70466 "0.7"
"68" 0.68747 "0.7"
"69" 0.70776 "0.7"
"70" 0.69510 "0.7"
"71" 0.73316 "0.7"
"72" 0.71257 "0.7"
"73" 0.71976 "0.7"
"74" 0.72291 "0.7"
"75" 0.71438 "0.7"
"76" 0.71057 "0.8"
"77" 0.67726 "0.8"
"78" 0.69754 "0.8"
"79" 0.69741 "0.8"
"80" 0.74024 "0.8"
"81" 0.70994 "0.8"
"82" 0.68906 "0.8"
"83" 0.69267 "0.8"
"84" 0.75065 "0.8"
"85" 0.67383 "0.8"
"86" 0.72600 "0.8"
"87" 0.66181 "0.8"
"88" 0.65972 "0.8"
"89" 0.68785 "0.8"
"90" 0.69228 "0.8"
"91" 0.69433 "0.8"
"92" 0.73897 "0.8"
"93" 0.72973 "0.8"
"94" 0.66087 "0.8"
"95" 0.69186 "0.8"
"96" 0.69626 "0.8"
"97" 0.65914 "0.8"
"98" 0.71107 "0.8"
"99" 0.68328 "0.8"
"100" 0.70176 "0.8"
"101" 0.69004 "0.8"
"102" 0.66104 "0.8"
"103" 0.71623 "0.8"
"104" 0.70435 "0.8"
"105" 0.72389 "0.8"
"106" 0.72755 "0.8"
"107" 0.69235 "0.8"
"108" 0.68245 "0.8"
"109" 0.71362 "0.8"
"110" 0.68028 "0.8"
"111" 0.72446 "0.8"
"112" 0.71648 "0.8"
"113" 0.72040 "0.8"
"114" 0.70483 "0.8"
"115" 0.70436 "0.8"
"116" 0.73417 "0.8"
"117" 0.74880 "0.8"
"118" 0.71483 "0.8"
"119" 0.70439 "0.8"
"120" 0.71529 "0.8"
"121" 0.71703 "0.8"
"122" 0.70488 "0.8"
"123" 0.69373 "0.8"
"124" 0.71014 "0.8"
"125" 0.67186 "0.8"
"126" 0.65903 "0.8"
"127" 0.68851 "0.8"
"128" 0.71048 "0.8"
"129" 0.71092 "0.8"
"130" 0.71100 "0.8"
"131" 0.72658 "0.8"
"132" 0.72901 "0.8"
"133" 0.67647 "0.8"
"134" 0.71008 "0.8"
"135" 0.68638 "0.8"
"136" 0.70674 "0.8"
"137" 0.72741 "0.8"
"138" 0.71434 "0.8"
"139" 0.69111 "0.8"
"140" 0.72166 "0.8"
"141" 0.65925 "0.8"
"142" 0.68299 "0.8"
"143" 0.72477 "0.8"
"144" 0.72693 "0.8"
"145" 0.69564 "0.8"
"146" 0.73603 "0.8"
"147" 0.66617 "0.8"
"148" 0.73315 "0.8"
"149" 0.72783 "0.8"
"150" 0.68696 "0.8"
"151" 0.68693 "0.9"
"152" 0.71376 "0.9"
"153" 0.69216 "0.9"
"154" 0.67246 "0.9"
"155" 0.68114 "0.9"
"156" 0.68707 "0.9"
"157" 0.68562 "0.9"
"158" 0.67920 "0.9"
"159" 0.69335 "0.9"
"160" 0.69969 "0.9"
"161" 0.73553 "0.9"
"162" 0.68732 "0.9"
"163" 0.72357 "0.9"
"164" 0.66826 "0.9"
"165" 0.70178 "0.9"
"166" 0.70971 "0.9"
"167" 0.70933 "0.9"
"168" 0.65865 "0.9"
"169" 0.72573 "0.9"
"170" 0.69510 "0.9"
"171" 0.66126 "0.9"
"172" 0.72046 "0.9"
"173" 0.72616 "0.9"
"174" 0.69021 "0.9"
"175" 0.71835 "0.9"
"176" 0.65721 "0.9"
"177" 0.76336 "0.9"
"178" 0.71295 "0.9"
"179" 0.72000 "0.9"
"180" 0.66869 "0.9"
"181" 0.72858 "0.9"
"182" 0.69215 "0.9"
"183" 0.67862 "0.9"
"184" 0.68648 "0.9"
"185" 0.69608 "0.9"
"186" 0.71992 "0.9"
"187" 0.68346 "0.9"
"188" 0.72577 "0.9"
"189" 0.74320 "0.9"
"190" 0.70070 "0.9"
"191" 0.68984 "0.9"
"192" 0.70833 "0.9"
"193" 0.68213 "0.9"
"194" 0.70972 "0.9"
"195" 0.69972 "0.9"
"196" 0.67637 "0.9"
"197" 0.69568 "0.9"
"198" 0.70397 "0.9"
"199" 0.70406 "0.9"
"200" 0.70567 "0.9"
"201" 0.70713 "0.9"
"202" 0.67638 "0.9"
"203" 0.66579 "0.9"
"204" 0.65886 "0.9"
"205" 0.69367 "0.9"
"206" 0.72702 "0.9"
"207" 0.65370 "0.9"
"208" 0.67381 "0.9"
"209" 0.70798 "0.9"
"210" 0.68180 "0.9"
"211" 0.68468 "0.9"
"212" 0.72301 "0.9"
"213" 0.69040 "0.9"
"214" 0.68891 "0.9"
"215" 0.68640 "0.9"
"216" 0.73332 "0.9"
"217" 0.71192 "0.9"
"218" 0.71445 "0.9"
"219" 0.68196 "0.9"
"220" 0.67352 "0.9"
"221" 0.66711 "0.9"
"222" 0.71368 "0.9"
"223" 0.69807 "0.9"
"224" 0.67806 "0.9"
"225" 0.70316 "0.9"
"226" 0.66669 "1"
"227" 0.73162 "1"
"228" 0.67086 "1"
"229" 0.71713 "1"
"230" 0.68676 "1"
"231" 0.72637 "1"
"232" 0.67969 "1"
"233" 0.68695 "1"
"234" 0.72180 "1"
"235" 0.74709 "1"
"236" 0.69434 "1"
"237" 0.75021 "1"
"238" 0.69610 "1"
"239" 0.70417 "1"
"240" 0.70023 "1"
"241" 0.66981 "1"
"242" 0.71523 "1"
"243" 0.74006 "1"
"244" 0.69406 "1"
"245" 0.66478 "1"
"246" 0.70510 "1"
"247" 0.69528 "1"
"248" 0.70771 "1"
"249" 0.71179 "1"
"250" 0.74504 "1"
"251" 0.70690 "1"
"252" 0.71847 "1"
"253" 0.72289 "1"
"254" 0.68269 "1"
"255" 0.70094 "1"
"256" 0.69491 "1"
"257" 0.71605 "1"
"258" 0.72423 "1"
"259" 0.68980 "1"
"260" 0.72990 "1"
"261" 0.70630 "1"
"262" 0.72122 "1"
"263" 0.71395 "1"
"264" 0.70817 "1"
"265" 0.69547 "1"
"266" 0.74440 "1"
"267" 0.69269 "1"
"268" 0.72254 "1"
"269" 0.68797 "1"
"270" 0.72533 "1"
"271" 0.72513 "1"
"272" 0.73112 "1"
"273" 0.72940 "1"
"274" 0.74042 "1"
"275" 0.72488 "1"
"276" 0.73315 "1"
"277" 0.68527 "1"
"278" 0.70034 "1"
"279" 0.72000 "1"
"280" 0.67439 "1"
"281" 0.69336 "1"
"282" 0.68544 "1"
"283" 0.69849 "1"
"284" 0.72970 "1"
"285" 0.67118 "1"
"286" 0.66992 "1"
"287" 0.67905 "1"
"288" 0.68844 "1"
"289" 0.69896 "1"
"290" 0.73205 "1"
"291" 0.70675 "1"
"292" 0.71188 "1"
"293" 0.69400 "1"
"294" 0.67391 "1"
"295" 0.75036 "1"
"296" 0.71215 "1"
"297" 0.70922 "1"
"298" 0.70554 "1"
"299" 0.71687 "1"
"300" 0.68304 "1"
"301" 0.75369 "1.1"
"302" 0.75984 "1.1"
"303" 0.77508 "1.1"
"304" 0.74612 "1.1"
"305" 0.75335 "1.1"
"306" 0.74676 "1.1"
"307" 0.74572 "1.1"
"308" 0.75691 "1.1"
"309" 0.74911 "1.1"
"310" 0.71372 "1.1"
"311" 0.74491 "1.1"
"312" 0.71777 "1.1"
"313" 0.75573 "1.1"
"314" 0.72936 "1.1"
"315" 0.75354 "1.1"
"316" 0.74301 "1.1"
"317" 0.77853 "1.1"
"318" 0.76156 "1.1"
"319" 0.75081 "1.1"
"320" 0.75236 "1.1"
"321" 0.73281 "1.1"
"322" 0.76063 "1.1"
"323" 0.74826 "1.1"
"324" 0.77248 "1.1"
"325" 0.73671 "1.1"
"326" 0.73583 "1.1"
"327" 0.74344 "1.1"
"328" 0.77160 "1.1"
"329" 0.75345 "1.1"
"330" 0.74851 "1.1"
"331" 0.74420 "1.1"
"332" 0.74694 "1.1"
"333" 0.76891 "1.1"
"334" 0.76069 "1.1"
"335" 0.72555 "1.1"
"336" 0.74250 "1.1"
"337" 0.74510 "1.1"
"338" 0.72666 "1.1"
"339" 0.76025 "1.1"
"340" 0.72970 "1.1"
"341" 0.75702 "1.1"
"342" 0.76436 "1.1"
"343" 0.71879 "1.1"
"344" 0.77667 "1.1"
"345" 0.75575 "1.1"
"346" 0.73551 "1.1"
"347" 0.76121 "1.1"
"348" 0.74521 "1.1"
"349" 0.75373 "1.1"
"350" 0.76300 "1.1"
"351" 0.73150 "1.1"
"352" 0.73601 "1.1"
"353" 0.74835 "1.1"
"354" 0.77562 "1.1"
"355" 0.77935 "1.1"
"356" 0.76855 "1.1"
"357" 0.77551 "1.1"
"358" 0.75992 "1.1"
"359" 0.74033 "1.1"
"360" 0.74510 "1.1"
"361" 0.75964 "1.1"
"362" 0.75621 "1.1"
"363" 0.75693 "1.1"
"364" 0.76437 "1.1"
"365" 0.73125 "1.1"
"366" 0.77362 "1.1"
"367" 0.76757 "1.1"
"368" 0.75240 "1.1"
"369" 0.76254 "1.1"
"370" 0.75392 "1.1"
"371" 0.75313 "1.1"
"372" 0.74013 "1.1"
"373" 0.75860 "1.1"
"374" 0.75269 "1.1"
"375" 0.75804 "1.1"
"376" 0.77625 "1.2"
"377" 0.72180 "1.2"
"378" 0.76413 "1.2"
"379" 0.73057 "1.2"
"380" 0.75643 "1.2"
"381" 0.75630 "1.2"
"382" 0.77274 "1.2"
"383" 0.76057 "1.2"
"384" 0.74080 "1.2"
"385" 0.75210 "1.2"
"386" 0.72187 "1.2"
"387" 0.73789 "1.2"
"388" 0.75407 "1.2"
"389" 0.74464 "1.2"
"390" 0.73648 "1.2"
"391" 0.74345 "1.2"
"392" 0.76445 "1.2"
"393" 0.73521 "1.2"
"394" 0.74706 "1.2"
"395" 0.75258 "1.2"
"396" 0.74639 "1.2"
"397" 0.77480 "1.2"
"398" 0.74098 "1.2"
"399" 0.76591 "1.2"
"400" 0.72682 "1.2"
"401" 0.75991 "1.2"
"402" 0.74425 "1.2"
"403" 0.76483 "1.2"
"404" 0.76579 "1.2"
"405" 0.75569 "1.2"
"406" 0.75918 "1.2"
"407" 0.74275 "1.2"
"408" 0.71961 "1.2"
"409" 0.75969 "1.2"
"410" 0.71959 "1.2"
"411" 0.73044 "1.2"
"412" 0.76383 "1.2"
"413" 0.76910 "1.2"
"414" 0.74825 "1.2"
"415" 0.73337 "1.2"
"416" 0.75170 "1.2"
"417" 0.74630 "1.2"
"418" 0.75605 "1.2"
"419" 0.72101 "1.2"
"420" 0.73841 "1.2"
"421" 0.73992 "1.2"
"422" 0.77086 "1.2"
"423" 0.73230 "1.2"
"424" 0.75366 "1.2"
"425" 0.74898 "1.2"
"426" 0.76267 "1.2"
"427" 0.76119 "1.2"
"428" 0.75521 "1.2"
"429" 0.73641 "1.2"
"430" 0.72223 "1.2"
"431" 0.73500 "1.2"
"432" 0.76300 "1.2"
"433" 0.75687 "1.2"
"434" 0.74093 "1.2"
"435" 0.74621 "1.2"
"436" 0.71335 "1.2"
"437" 0.74224 "1.2"
"438" 0.76272 "1.2"
"439" 0.72046 "1.2"
"440" 0.74184 "1.2"
"441" 0.76395 "1.2"
"442" 0.76528 "1.2"
"443" 0.75550 "1.2"
"444" 0.75862 "1.2"
"445" 0.76396 "1.2"
"446" 0.75496 "1.2"
"447" 0.73902 "1.2"
"448" 0.77147 "1.2"
"449" 0.74525 "1.2"
"450" 0.74610 "1.2"
"451" 0.75611 "1.3"
"452" 0.75444 "1.3"
"453" 0.73975 "1.3"
"454" 0.73746 "1.3"
"455" 0.74674 "1.3"
"456" 0.76597 "1.3"
"457" 0.75326 "1.3"
"458" 0.75996 "1.3"
"459" 0.73037 "1.3"
"460" 0.75184 "1.3"
"461" 0.76213 "1.3"
"462" 0.75562 "1.3"
"463" 0.76294 "1.3"
"464" 0.71249 "1.3"
"465" 0.74837 "1.3"
