"ga.eprr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.67232 0.69344 0.63512 0.73461 0.64212 0.70291
"2" 0.65736 0.68667 0.61181 0.71787 0.62022 0.68322
"3" 0.69076 0.68805 0.66444 0.75844 0.67325 0.72387
"4" 0.66003 0.67371 0.64799 0.72747 0.64476 0.70326
"5" 0.73869 0.69651 0.67443 0.76042 0.67654 0.71551
"6" 0.68639 0.70236 0.66967 0.74987 0.67646 0.72169
"7" 0.65774 0.66148 0.64699 0.73484 0.64172 0.69551
"8" 1.10626 0.72758 0.67917 0.76232 0.67764 0.70706
"9" 0.67541 0.69509 0.6742 0.76853 0.67205 0.71878
"10" 0.71301 0.7201 0.68049 0.78314 0.68411 0.73098
"11" 0.78555 0.72788 0.68817 0.75448 0.67539 0.71743
"12" 0.71406 0.7285 0.67355 0.75133 0.66962 0.71095
"13" 0.69523 0.69164 0.65066 0.74151 0.66384 0.68782
"14" 0.67615 0.70054 0.65996 0.72195 0.65168 0.71766
"15" 0.64625 0.6577 0.63957 0.71338 0.64439 0.68112
"16" 3.58327 0.71549 0.70052 0.78018 0.70635 0.7572
"17" 0.67786 0.69204 0.68646 0.79032 0.69694 0.7469
"18" 0.68408 0.68895 0.66821 0.73026 0.6544 0.70849
"19" 0.74008 0.74351 0.6877 0.77218 0.68904 0.73103
"20" 0.69129 0.70118 0.66909 0.77061 0.6681 0.73383
"21" 0.71373 0.71266 0.63514 0.71687 0.64579 0.70077
"22" 0.67605 0.69573 0.67506 0.76739 0.68693 0.72933
"23" 0.6631 0.67969 0.66312 0.76065 0.67002 0.7203
"24" 0.68381 0.68801 0.66597 0.753 0.67642 0.72563
"25" 0.65738 0.66432 0.63887 0.74308 0.64549 0.70551
"26" 0.67546 0.69339 0.66489 0.75715 0.66904 0.72576
"27" 6.59078 0.69551 0.64887 0.73493 0.65085 0.69659
"28" 0.68856 0.69901 0.66408 0.7523 0.67722 0.73221
"29" 0.65715 0.67209 0.63151 0.71425 0.64987 0.68222
"30" 0.71733 0.7087 0.66637 0.75028 0.67078 0.73022
"31" 0.68909 0.69802 0.66537 0.76382 0.67839 0.71255
"32" 1.49339 0.72645 0.6589 0.75178 0.66664 0.71773
"33" 0.68165 0.6917 0.66938 0.77129 0.67429 0.70941
"34" 0.66421 0.68774 0.63975 0.72956 0.64163 0.70195
"35" 0.67344 0.67501 0.65078 0.73977 0.6601 0.72125
"36" 0.71835 0.69764 0.66205 0.76751 0.67029 0.7214
"37" 0.69613 0.70936 0.67877 0.77648 0.68227 0.7295
"38" 0.70578 0.71312 0.69882 0.78296 0.69339 0.73648
"39" 0.64201 0.6466 0.60999 0.70564 0.62533 0.68137
"40" 0.66327 0.67494 0.6458 0.75383 0.65126 0.69161
"41" 0.69866 0.70623 0.68313 0.76065 0.68145 0.72426
"42" 0.73052 0.75036 0.70282 0.80113 0.69732 0.74853
"43" 0.70544 0.72691 0.67287 0.75724 0.67681 0.72071
"44" 0.7123 0.70432 0.66084 0.7425 0.65571 0.69814
"45" 0.72691 0.7441 0.70779 0.77606 0.70137 0.75281
"46" 0.75272 0.74756 0.70625 0.77062 0.70726 0.75987
"47" 0.73087 0.70163 0.67506 0.75317 0.67524 0.7187
"48" 0.65984 0.66967 0.63562 0.74944 0.63863 0.68474
"49" 0.70805 0.71721 0.67935 0.77172 0.69079 0.73678
"50" 0.65969 0.67455 0.6523 0.73434 0.65818 0.704
