polynomial deg=4;linear;radial
0,58242;0,39786;0,44224
0,7001;0,48504;0,37578
0,55143;0,44319;0,34717
0,68957;0,40303;0,30599
0,63742;0,46372;0,30426
0,54322;0,42428;0,34458
0,51081;0,43546;0,33187
0,55106;0,43557;0,33531
0,49067;0,42172;0,36316
0,55911;0,43038;0,32654
0,56083;0,43978;0,36795
0,66219;0,43404;0,36153
0,59166;0,46475;0,33846
0,71634;0,37691;0,36309
0,49548;0,4523;0,27234
0,56482;0,48924;0,29638
0,70406;0,43181;0,42159
0,519;0,46118;0,34947
0,56771;0,40886;0,4418
0,59809;0,48714;0,38064
0,60004;0,44707;0,39889
0,70144;0,42119;0,33813
0,60022;0,43698;0,39541
0,66304;0,41199;0,43283
0,57044;0,52945;0,30196
0,6114;0,39429;0,36365
0,60425;0,41716;0,36933
0,62295;0,39117;0,30821
0,51524;0,43003;0,36815
0,72228;0,39783;0,31506
0,49679;0,41495;0,38211
0,68715;0,4237;0,28972
0,66248;0,40787;0,36391
0,57978;0,42253;0,39618
0,5479;0,50978;0,28432
0,64932;0,47336;0,30611
0,55561;0,48782;0,32184
0,60309;0,47771;0,35474
0,5915;0,5085;0,30614
0,4326;0,40911;0,3079
0,47012;0,36286;0,35282
0,45875;0,49723;0,36753
0,64241;0,42286;0,34349
0,57628;0,46139;0,38966
0,45365;0,39576;0,30386
0,50824;0,44707;0,37378
0,58502;0,42025;0,29812
0,55176;0,42314;0,35554
0,50073;0,37999;0,32636
0,56841;0,38969;0,40116
0,6655;0,42588;0,29897
0,58247;0,47538;0,41907
0,59121;0,40813;0,39551
0,64251;0,45882;0,38788
0,46905;0,40258;0,36037
0,59176;0,45548;0,38657
0,50489;0,40992;0,26775
0,5494;0,41586;0,34625
0,60344;0,41597;0,35548
0,51933;0,43227;0,31434
0,58309;0,46163;0,34688
0,59601;0,43147;0,35847
0,63812;0,48162;0,36631
0,63264;0,43957;0,36166
0,58325;0,45646;0,339
0,55358;0,46147;0,33312
0,594;0,42457;0,388
0,5216;0,41902;0,30235
0,5986;0,39561;0,33397
0,51818;0,45757;0,34958
0,58135;0,37484;0,31433
0,60896;0,41129;0,35045
0,45599;0,46877;0,31049
0,62593;0,42514;0,33872
0,5839;0,48035;0,34622
