polynomial deg=4;linear;radial
0,95657;0,7686;0,32204
0,95473;0,76469;0,31969
0,94851;0,77554;0,32514
0,93522;0,79403;0,32314
0,93495;0,77439;0,31134
0,93917;0,77493;0,31965
0,94828;0,77264;0,32382
0,92789;0,78507;0,32563
0,93813;0,78191;0,31822
0,93256;0,77881;0,32063
0,93638;0,78476;0,31568
0,96017;0,76656;0,32546
0,95915;0,77369;0,32972
0,945;0,77196;0,32474
0,92945;0,78169;0,32511
0,95258;0,7592;0,31653
0,92885;0,77894;0,31747
0,95032;0,75083;0,32196
0,95145;0,77099;0,32403
0,94674;0,78201;0,31978
0,93953;0,77757;0,32313
0,94672;0,77853;0,32406
0,9402;0,76951;0,32868
0,94789;0,7627;0,31717
0,95269;0,76282;0,31198
0,95374;0,77882;0,32432
0,95315;0,77719;0,31941
0,9685;0,76012;0,31648
0,93078;0,78818;0,31801
0,95526;0,76096;0,32162
0,94448;0,76036;0,31791
0,94016;0,76042;0,32048
0,91209;0,78878;0,32736
0,94172;0,77286;0,32249
0,94185;0,78993;0,32743
0,94217;0,7842;0,32893
0,91273;0,7834;0,32063
0,95006;0,76012;0,32752
0,92454;0,77385;0,3151
0,94141;0,77429;0,32364
0,91329;0,78788;0,31861
0,95309;0,788;0,32331
0,95034;0,79062;0,31811
0,96686;0,75926;0,32312
0,93628;0,77967;0,32281
0,93485;0,76744;0,31546
0,93975;0,75395;0,32155
0,94228;0,7819;0,32418
0,94517;0,787;0,30561
0,9683;0,77841;0,32768
0,94248;0,76994;0,31836
0,93904;0,7764;0,31794
0,97307;0,76582;0,31123
0,93309;0,77609;0,31106
0,96218;0,79276;0,32871
0,94272;0,78867;0,32366
0,95326;0,76805;0,32611
0,94109;0,77723;0,3267
0,93821;0,7988;0,32393
0,93273;0,78846;0,328
0,94041;0,77082;0,31642
0,93223;0,78573;0,32265
0,92967;0,77084;0,32572
0,94135;0,76491;0,30406
0,9593;0,76728;0,32038
0,94367;0,77237;0,323
0,9535;0,78426;0,31591
0,95137;0,78651;0,32318
0,9541;0,79404;0,31562
0,94699;0,79301;0,32546
0,955;0,78444;0,32106
0,96793;0,77637;0,31291
0,95557;0,78506;0,32115
0,92841;0,79679;0,31526
0,95308;0,78832;0,31681
