"ga.eprr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.3968 0.41758 0.58242 0.37288 0.32058 0.38025
"2" 0.44701 0.48326 0.7001 0.4868 0.42364 0.45601
"3" 0.36376 0.42211 0.55143 0.45606 0.35142 0.45643
"4" 0.41545 0.44701 0.68957 0.40557 0.37669 0.43852
"5" 0.40594 0.45113 0.63742 0.48452 0.38424 0.50407
"6" 0.40467 0.42887 0.54322 0.46119 0.33846 0.39794
"7" 0.4142 0.45512 0.51081 0.45386 0.36612 0.43873
"8" 0.36726 0.41676 0.55106 0.42189 0.31607 0.39449
"9" 0.37662 0.41155 0.49067 0.4457 0.34287 0.44957
"10" 0.33314 0.43269 0.55911 0.43108 0.35215 0.39652
"11" 0.39122 0.42206 0.56083 0.4343 0.3222 0.51067
"12" 0.38725 0.40923 0.66219 0.52232 0.36423 0.4792
"13" 0.40587 0.45178 0.59166 0.46812 0.37876 0.44919
"14" 0.42383 0.43258 0.71634 0.51275 0.41084 0.48379
"15" 0.4078 0.43156 0.49548 0.49181 0.38086 0.41991
"16" 0.40236 0.45794 0.56482 0.45331 0.33507 0.41551
"17" 0.47526 0.51838 0.70406 0.55152 0.45585 0.54472
"18" 0.40004 0.44638 0.519 0.45309 0.3191 0.35853
"19" 0.41308 0.45068 0.56771 0.4592 0.37384 0.38679
"20" 0.36025 0.39433 0.59809 0.45812 0.38116 0.42546
"21" 0.36554 0.41335 0.60004 0.38083 0.32812 0.39285
"22" 0.46598 0.48305 0.70144 0.54753 0.39249 0.50193
"23" 0.455 0.4929 0.60022 0.50963 0.43654 0.46226
"24" 0.38783 0.47293 0.66304 0.46729 0.41374 0.5142
"25" 0.43614 0.46834 0.57044 0.43908 0.37918 0.44617
"26" 0.38924 0.43298 0.6114 0.42026 0.33362 0.44204
"27" 0.40512 0.44289 0.60425 0.46344 0.34768 0.44492
"28" 0.41299 0.44765 0.62295 0.4348 0.35654 0.4341
"29" 0.36347 0.39111 0.51524 0.46315 0.38709 0.46441
"30" 0.403 0.40153 0.72228 0.50063 0.34727 0.40469
"31" 0.35948 0.40362 0.49679 0.44546 0.32954 0.41067
"32" 0.38939 0.45513 0.68715 0.46572 0.36657 0.46414
"33" 0.45959 0.48091 0.66248 0.52021 0.40963 0.47543
"34" 0.37055 0.4228 0.57978 0.46955 0.34026 0.46063
"35" 0.41447 0.4752 0.5479 0.41422 0.35545 0.43878
"36" 0.40697 0.4499 0.64932 0.48754 0.38723 0.44187
"37" 0.36246 0.40722 0.55561 0.45218 0.3246 0.42484
"38" 0.39918 0.44105 0.60309 0.44685 0.3374 0.44489
"39" 0.41265 0.48969 0.5915 0.5062 0.41319 0.48837
"40" 0.35948 0.39462 0.4326 0.45408 0.33961 0.42426
"41" 0.38548 0.43603 0.47012 0.47302 0.35866 0.42078
"42" 0.34272 0.38198 0.45875 0.45836 0.32577 0.38255
"43" 0.47583 0.49898 0.64241 0.53102 0.44349 0.52339
"44" 0.37203 0.42416 0.57628 0.42337 0.36177 0.38546
"45" 0.35091 0.39318 0.45365 0.38569 0.29406 0.38824
"46" 0.39348 0.45612 0.50824 0.47448 0.39171 0.47767
"47" 0.38688 0.4561 0.58502 0.43115 0.37671 0.42082
"48" 0.42275 0.41728 0.55176 0.46125 0.34337 0.4192
"49" 0.38849 0.38973 0.50073 0.40994 0.27583 0.38919
"50" 0.39416 0.43352 0.56841 0.45376 0.36757 0.41312
"51" 0.40623 0.4328 0.6655 0.49143 0.4011 0.50647
"52" 0.35871 0.38523 0.58247 0.48131 0.30601 0.43474
"53" 0.40047 0.43114 0.59121 0.48181 0.38309 0.44658
"54" 0.40553 0.44475 0.64251 0.51057 0.36646 0.45048
"55" 0.34734 0.39536 0.46905 0.41466 0.31358 0.38054
"56" 0.4036 0.44142 0.59176 0.46519 0.37279 0.42421
"57" 0.36349 0.42462 0.50489 0.47423 0.31994 0.42297
"58" 0.43443 0.47567 0.5494 0.50315 0.40219 0.50658
"59" 0.38337 0.42395 0.60344 0.4343 0.32405 0.40011
"60" 0.37418 0.41562 0.51933 0.43005 0.31681 0.43317
"61" 0.40494 0.44422 0.58309 0.46938 0.33762 0.42787
"62" 0.38229 0.41021 0.59601 0.42549 0.359 0.41078
"63" 0.41901 0.42247 0.63812 0.55634 0.41561 0.4901
"64" 0.42773 0.4538 0.63264 0.48952 0.39871 0.48379
"65" 0.38953 0.41205 0.58325 0.47999 0.36871 0.44888
"66" 0.39236 0.40388 0.55358 0.48232 0.39357 0.44986
"67" 0.35799 0.38763 0.594 0.40821 0.30795 0.38086
"68" 0.34741 0.39163 0.5216 0.45662 0.3722 0.45746
"69" 0.46016 0.48468 0.5986 0.5423 0.43101 0.46097
"70" 0.36354 0.40692 0.51818 0.40757 0.31809 0.44745
"71" 0.39418 0.43561 0.58135 0.39629 0.34542 0.39335
"72" 0.36891 0.45202 0.60896 0.4151 0.35085 0.40735
"73" 0.36306 0.40285 0.45599 0.37905 0.30719 0.36185
"74" 0.38194 0.42725 0.62593 0.40983 0.36905 0.3966
"75" 0.34676 0.41597 0.5839 0.42555 0.33787 0.40906
