"ga.eprr";"lin.reg";"svm";"rpart";"rf";"ci.tree"
"1";0.46477;0.50615;0.44224;0.51584;0.42903;0.51186
"2";0.40067;0.39763;0.37578;0.53522;0.4141;0.4718
"3";0.4303;0.43526;0.34717;0.48227;0.35215;0.47386
"4";0.36805;0.41468;0.30599;0.407;0.32465;0.38662
"5";0.37356;0.38473;0.30426;0.41556;0.32213;0.41698
"6";0.41158;0.46285;0.34458;0.44728;0.3591;0.4245
"7";0.42415;0.45872;0.33187;0.4353;0.34111;0.42573
"8";0.42369;0.44218;0.33531;0.41138;0.32434;0.44209
"9";0.43861;0.45327;0.36316;0.47402;0.36088;0.46334
"10";0.38084;0.4267;0.32654;0.45334;0.3581;0.40888
"11";0.38452;0.43602;0.36795;0.48913;0.38468;0.47573
"12";0.41609;0.45144;0.36153;0.45438;0.36663;0.45175
"13";0.38449;0.43309;0.33846;0.47083;0.37704;0.44585
"14";0.40601;0.46001;0.36309;0.47931;0.3686;0.42302
"15";0.343;0.39029;0.27234;0.39319;0.29117;0.3836
"16";0.37097;0.39184;0.29638;0.42677;0.29949;0.41229
"17";0.42463;0.4926;0.42159;0.49893;0.44225;0.48441
"18";0.3774;0.44192;0.34947;0.42604;0.34939;0.3906
"19";0.45399;0.47818;0.4418;0.54125;0.44508;0.49074
"20";0.38971;0.43524;0.38064;0.48817;0.37457;0.49887
"21";0.40364;0.45507;0.39889;0.49792;0.43055;0.48711
"22";0.38919;0.41779;0.33813;0.47907;0.33517;0.39467
"23";0.44346;0.45406;0.39541;0.47784;0.41196;0.43833
"24";0.46674;0.52194;0.43283;0.51218;0.41731;0.52912
"25";0.39315;0.41394;0.30196;0.48262;0.33922;0.40283
