polynomial deg=4;linear;radial
0,64676;0,56864;0,48021
0,59329;0,52602;0,45321
0,39656;0,39437;0,4513
0,67486;0,39738;0,48967
0,57938;0,46544;0,50735
0,65691;0,63411;0,45458
0,92022;0,59172;0,40918
0,7534;0,66043;0,60939
0,5579;0,48314;0,50867
0,50387;0,46514;0,37395
0,64184;0,54436;0,40942
0,68852;0,52598;0,34544
0,51725;0,46012;0,37597
0,62214;0,49784;0,58299
0,644;0,66605;0,3549
0,53629;0,57468;0,44521
0,83683;0,55651;0,40348
0,55319;0,53864;0,5375
0,74002;0,4493;0,52646
0,62074;0,60182;0,46402
0,54275;0,68753;0,46718
0,57096;0,46731;0,40184
0,65986;0,51555;0,32607
0,51763;0,57202;0,35271
0,50128;0,65358;0,46205
0,46314;0,68477;0,50446
0,60102;0,50515;0,53448
0,66112;0,54324;0,49123
0,91529;0,58604;0,44586
0,66362;0,49176;0,33553
0,58235;0,5054;0,33675
0,73189;0,55193;0,44809
0,60301;0,49007;0,4456
0,57153;0,58434;0,41761
0,4461;0,6457;0,4032
0,5615;0,67307;0,52687
0,50254;0,47906;0,35326
0,53892;0,47828;0,4661
0,51893;0,52821;0,28475
0,54858;0,56105;0,41765
0,54792;0,46521;0,53951
0,53768;0,64036;0,44208
0,68058;0,41366;0,28791
0,61974;0,47202;0,44736
0,54406;0,50721;0,42493
123.129;0,41738;0,3326
0,60699;0,50416;0,40085
0,64196;0,43479;0,3535
0,68989;0,48297;0,38545
0,92581;0,62617;0,33757
0,65598;0,46945;0,46953
0,67675;0,73177;0,55673
0,69718;0,46406;0,41096
0,83678;0,59326;0,38646
0,64287;0,54588;0,41035
0,57741;0,51261;0,43962
0,44088;0,54177;0,56367
2.525;0,57901;0,45995
0,51481;0,65719;0,46245
0,66562;0,6053;0,42537
0,59312;0,64668;0,39993
0,77031;0,5463;0,34906
0,53337;0,6016;0,3282
0,46786;0,48623;0,4688
0,48766;0,55714;0,36287
0,60392;0,50287;0,41011
0,78948;0,46942;0,31912
0,55695;0,68737;0,31707
0,57295;0,61147;0,45161
0,49778;0,66783;0,47818
0,70748;0,5855;0,3366
0,61554;0,4707;0,51898
0,65011;0,62004;0,34121
0,7994;0,50998;0,40096
0,5875;0,58348;0,40825
