"ga.eprr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.76462 0.78585 0.95657 0.83184 0.58707 0.77089
"2" 0.77619 0.78338 0.95473 0.81512 0.575 0.74813
"3" 0.77642 0.77642 0.94851 0.82304 0.58251 0.7667
"4" 0.7737 0.77908 0.93522 0.83207 0.57451 0.76073
"5" 0.75139 0.75777 0.93495 0.81826 0.56672 0.73125
"6" 0.75853 0.76202 0.93917 0.81483 0.5754 0.73528
"7" 0.77429 0.78202 0.94828 0.8115 0.57568 0.74927
"8" 0.73897 0.74882 0.92789 0.80906 0.55888 0.75741
"9" 0.75222 0.75821 0.93813 0.80626 0.56434 0.7589
"10" 0.75996 0.76212 0.93256 0.80915 0.56459 0.74425
"11" 0.74632 0.75444 0.93638 0.8048 0.55625 0.7456
"12" 0.76945 0.78392 0.96017 0.82244 0.57394 0.73934
"13" 0.73991 0.74294 0.95915 0.79624 0.54978 0.73485
"14" 0.7632 0.76241 0.945 0.83293 0.56158 0.77628
"15" 0.76946 0.76951 0.92945 0.82145 0.57154 0.75051
"16" 0.78234 0.78429 0.95258 0.83347 0.59157 0.75032
"17" 0.75345 0.75722 0.92885 0.80225 0.56823 0.74289
"18" 0.76047 0.76407 0.95032 0.82383 0.5716 0.76571
"19" 0.76858 0.77244 0.95145 0.81463 0.57451 0.743
"20" 0.76663 0.77018 0.94674 0.81113 0.56762 0.76077
"21" 0.75243 0.76004 0.93953 0.80451 0.57306 0.76356
"22" 0.77368 0.78461 0.94672 0.82966 0.58582 0.7496
"23" 0.76853 0.77536 0.9402 0.80547 0.56946 0.76864
"24" 0.76294 0.76637 0.94789 0.82494 0.57641 0.74931
"25" 0.76245 0.76292 0.95269 0.81742 0.56226 0.74286
"26" 0.77627 0.77983 0.95374 0.82482 0.57896 0.78638
"27" 0.76138 0.76291 0.95315 0.81451 0.56847 0.76324
"28" 0.7673 0.77265 0.9685 0.83065 0.58093 0.7449
"29" 0.77467 0.77513 0.93078 0.81683 0.58023 0.76048
"30" 0.77134 0.76974 0.95526 0.81471 0.57502 0.76896
"31" 0.75382 0.7632 0.94448 0.80801 0.56259 0.76031
"32" 0.76445 0.76598 0.94016 0.80444 0.56978 0.76489
"33" 0.76078 0.76552 0.91209 0.84347 0.57522 0.77205
"34" 0.77996 0.78885 0.94172 0.82933 0.58231 0.78431
"35" 0.73643 0.76435 0.94185 0.81537 0.56902 0.75159
"36" 0.76052 0.76546 0.94217 0.81686 0.56296 0.7349
"37" 0.74611 0.75198 0.91273 0.7925 0.55686 0.73774
"38" 0.77039 0.77751 0.95006 0.82144 0.58804 0.76061
"39" 0.75384 0.76179 0.92454 0.81504 0.55983 0.72991
"40" 0.7424 0.74878 0.94141 0.82208 0.55917 0.76469
"41" 0.72849 0.7551 0.91329 0.79666 0.55714 0.74569
"42" 0.74633 0.75632 0.95309 0.80927 0.55525 0.73497
"43" 0.74724 0.75604 0.95034 0.82064 0.57106 0.7738
"44" 0.75991 0.77095 0.96686 0.82266 0.5708 0.74664
"45" 0.77762 0.78079 0.93628 0.84024 0.57776 0.75889
"46" 0.77166 0.77733 0.93485 0.82065 0.57629 0.7733
"47" 0.76489 0.76408 0.93975 0.80727 0.56701 0.76901
"48" 0.76024 0.7675 0.94228 0.81035 0.57531 0.7386
"49" 0.7596 0.76574 0.94517 0.81048 0.5726 0.73942
"50" 0.77324 0.77491 0.9683 0.83289 0.57367 0.75795
"51" 0.77572 0.77599 0.94248 0.82495 0.57972 0.76437
"52" 0.75457 0.76112 0.93904 0.81163 0.56083 0.7449
"53" 0.78082 0.78349 0.97307 0.83066 0.57253 0.767
"54" 0.75738 0.76589 0.93309 0.82564 0.56975 0.74121
"55" 0.77359 0.77397 0.96218 0.83043 0.57748 0.74672
"56" 0.75252 0.76259 0.94272 0.80827 0.56325 0.73494
"57" 0.75699 0.75733 0.95326 0.81697 0.57031 0.74259
"58" 0.76238 0.76196 0.94109 0.80875 0.56367 0.75524
"59" 0.76925 0.77047 0.93821 0.82942 0.56446 0.74411
"60" 0.75894 0.76719 0.93273 0.82393 0.56567 0.75925
"61" 0.76512 0.76547 0.94041 0.81358 0.56595 0.74997
"62" 0.75156 0.75757 0.93223 0.8345 0.57351 0.77934
"63" 0.75051 0.75836 0.92967 0.82328 0.56266 0.74742
"64" 0.75733 0.76336 0.94135 0.82394 0.56662 0.7391
"65" 0.75497 0.76252 0.9593 0.81797 0.5677 0.75417
"66" 0.7502 0.75135 0.94367 0.81296 0.56444 0.73514
"67" 0.76093 0.76099 0.9535 0.81808 0.56531 0.76664
"68" 0.7665 0.7696 0.95137 0.83228 0.57552 0.75476
"69" 0.77339 0.77464 0.9541 0.81581 0.57977 0.74775
"70" 0.75176 0.76642 0.94699 0.81538 0.57125 0.75184
"71" 0.76086 0.76639 0.955 0.81354 0.56897 0.7566
"72" 0.76194 0.76385 0.96793 0.82887 0.57793 0.77717
"73" 0.76332 0.76444 0.95557 0.81668 0.5723 0.73094
"74" 0.76133 0.7641 0.92841 0.82979 0.56583 0.76537
"75" 0.76443 0.76896 0.95308 0.81877 0.56479 0.7536
