"ga.eprr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.75777 0.76692 0.32204 0.83112 0.57487 0.73752
"2" 0.74975 0.75823 0.31969 0.80878 0.55973 0.73941
"3" 0.76384 0.76764 0.32514 0.84208 0.57724 0.75527
"4" 0.76836 0.77039 0.32314 0.82035 0.57266 0.78009
"5" 0.76968 0.77394 0.31134 0.82067 0.58731 0.75779
"6" 0.76799 0.76699 0.31965 0.80036 0.56674 0.75653
"7" 0.76536 0.76953 0.32382 0.83115 0.58241 0.76639
"8" 0.76749 0.76433 0.32563 0.82757 0.57374 0.76446
"9" 0.75805 0.76274 0.31822 0.82448 0.5629 0.72708
"10" 0.77006 0.77256 0.32063 0.82975 0.56716 0.75071
"11" 0.736 0.73993 0.31568 0.81644 0.55566 0.74046
"12" 0.77672 0.77765 0.32546 0.80944 0.57998 0.77709
"13" 0.783 0.7835 0.32972 0.84133 0.58022 0.76721
"14" 0.75682 0.77726 0.32474 0.83016 0.57078 0.74647
"15" 0.75915 0.76298 0.32511 0.81801 0.57938 0.74846
"16" 0.76862 0.7738 0.31653 0.81746 0.57318 0.77003
"17" 0.75738 0.76076 0.31747 0.82435 0.57739 0.7633
"18" 0.77898 0.7812 0.32196 0.82626 0.57687 0.77477
"19" 0.73936 0.73908 0.32403 0.78867 0.54862 0.7559
"20" 0.76729 0.77327 0.31978 0.82342 0.58666 0.76391
"21" 0.77967 0.78013 0.32313 0.85693 0.58207 0.76077
"22" 0.75913 0.76709 0.32406 0.80613 0.56723 0.75387
"23" 0.76478 0.77216 0.32868 0.81899 0.57546 0.77968
"24" 0.77075 0.77164 0.31717 0.80576 0.58002 0.74497
"25" 0.76066 0.7627 0.31198 0.82623 0.56331 0.74727
