"sample" "error" "lambda"
1 2.273732796657 0.7
2 2.17854482153989 0.7
3 2.33255362280813 0.7
4 2.35580500185825 0.7
5 2.2103124246352 0.7
6 2.18603423437152 0.75
7 2.26635392406028 0.75
8 2.3214266440768 0.75
9 2.25734219420678 0.75
10 2.22049106119942 0.75
11 2.344274692456 0.8
12 2.23297215142273 0.8
13 2.15906672018468 0.8
14 2.12040667810974 0.8
15 2.15009082829806 0.8
16 2.16799838869075 0.85
17 2.32086774337611 0.85
18 2.18322436534448 0.85
19 2.28035079383448 0.85
20 2.26523162315812 0.85
21 2.19609382582889 0.9
22 2.2253052829669 0.9
23 2.33403674384703 0.9
24 2.17569227497835 0.9
25 2.28942772301502 0.9
26 2.33381602310652 0.95
27 2.09112253022643 0.95
28 2.26566915045651 0.95
29 2.16279210509968 0.95
30 2.31936507736072 0.95
31 2.15716039926955 1.
32 2.3049251297331 1.
33 2.28564859376285 1.
34 2.1466897262685 1.
35 2.19994985502314 1.
36 2.42696340197213 1.05
37 2.31790324979971 1.05
38 2.32389569842745 1.05
39 2.23532310386823 1.05
40 2.22738631018258 1.05
41 2.46158554091586 1.1
42 2.47006513715415 1.1
43 2.53323219012618 1.1
44 2.4424270584267 1.1
45 2.4652786710449 1.1
46 2.48681115810164 1.15
47 2.45298860324554 1.15
48 2.55020745153682 1.15
49 2.85437286941318 1.15
50 2.56813479151494 1.15
51 2.44206905941762 1.2
52 2.94474595437134 1.2
53 2.62204087460871 1.2
54 2.65234707352616 1.2
55 2.47683895998462 1.2
56 2.67418239769827 1.25
57 2.48158528058275 1.25
58 2.56900532810103 1.25
59 2.4765782126759 1.25
60 2.52967411950146 1.25
61 2.56195595728102 1.3
62 2.6101546007693 1.3
63 2.47331448467698 1.3
64 2.35561168792035 1.3
65 2.55294440712556 1.3
