"ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1"  0.38722 0.39585 0.33729 0.45794 0.45641
"2"  0.34325 0.38971 0.28171 0.42189 0.40032
"3"  0.32771 0.40016 0.33000 0.47942 0.47967
"4"  0.40712 0.43326 0.37224 0.51990 0.42336
"5"  0.33157 0.38783 0.30067 0.39736 0.44493
"6"  0.41832 0.45455 0.36557 0.51608 0.44874
"7"  0.32741 0.38808 0.33740 0.42759 0.3696
"8"  0.34825 0.40147 0.29580 0.37986 0.3754
"9"  0.33382 0.38035 0.31775 0.41102 0.40377
"10" 0.41146 0.45504 0.37173 0.46878 0.4402
"11" 0.40173 0.50085 0.41616 0.48923 0.4572
"12" 0.44946 0.45231 0.37204 0.49819 0.45843
"13" 0.32516 0.37347 0.29611 0.45733 0.4112
"14" 0.45392 0.44653 0.36430 0.48809 0.43351
"15" 0.34591 0.41119 0.30777 0.53547 0.47093
"16" 0.34997 0.44474 0.34551 0.44379 0.47046
"17" 0.30274 0.40216 0.30780 0.41916 0.38272
"18" 0.34320 0.40085 0.32417 0.42535 0.40667
"19" 0.52457 0.42864 0.33441 0.42959 0.41873
"20" 0.42417 0.48958 0.43600 0.48435 0.52931
"21" 0.36854 0.42162 0.37184 0.44196 0.4318
"22" 0.36940 0.38483 0.30285 0.42921 0.42153
"23" 0.39060 0.46904 0.39681 0.43917 0.43339
"24" 0.35423 0.43492 0.33235 0.40824 0.40836
"25" 0.41805 0.41763 0.34185 0.44450 0.4384
"26" 0.38724 0.44952 0.39789 0.50170 0.4563
"27" 0.39448 0.47672 0.44486 0.50159 0.45344
"28" 0.33691 0.42049 0.30367 0.41009 0.42101
"29" 0.37560 0.42676 0.33889 0.46806 0.45467
"30" 0.36596 0.42281 0.34772 0.43876 0.45959
"31" 0.41578 0.48617 0.38593 0.49036 0.48398
"32" 0.41931 0.48436 0.42350 0.53219 0.48269
"33" 0.32982 0.40089 0.30477 0.45343 0.41157
"34" 0.34793 0.44651 0.36558 0.49990 0.3932
"35" 0.39248 0.47394 0.39926 0.50545 0.4591
"36" 0.37476 0.44520 0.36331 0.48681 0.4523
"37" 0.33838 0.38225 0.33048 0.47947 0.4746
"38" 0.40063 0.49039 0.38957 0.47887 0.44554
"39" 0.35014 0.42319 0.33443 0.45717 0.41782
"40" 0.34305 0.40071 0.29766 0.42154 0.41129
"41" 0.38810 0.46094 0.37512 0.40049 0.43531
"42" 0.38096 0.45648 0.37933 0.55916 0.48219
"43" 0.35413 0.43439 0.32027 0.43147 0.35661
"44" 0.38561 0.38771 0.33104 0.46111 0.4366
"45" 0.39627 0.42304 0.32340 0.42469 0.38235
"46" 0.36874 0.46324 0.38556 0.48061 0.43956
"47" 0.59742 0.43824 0.33995 0.38562 0.44877
"48" 0.34091 0.39062 0.33595 0.41225 0.39862
"49" 0.35349 0.43426 0.35112 0.42767 0.40498
"50" 0.33483 0.37593 0.29893 0.45905 0.37885
"51" 0.35075 0.39743 0.32051 0.41484 0.41353
"52" 0.39279 0.44992 0.40444 0.51262 0.46367
"53" 0.37035 0.45920 0.39448 0.46983 0.45404
"54" 0.42096 0.44137 0.36958 0.55125 0.46642
"55" 0.44832 0.50479 0.45162 0.51162 0.54833
"56" 0.36936 0.42874 0.35687 0.47582 0.46277
"57" 0.43580 0.45671 0.41646 0.51580 0.51767
"58" 0.37346 0.46612 0.38031 0.43078 0.42924
"59" 0.37149 0.41972 0.35383 0.42332 0.43883
"60" 0.38570 0.48740 0.37984 0.46259 0.45892
"61" 0.33382 0.38711 0.29639 0.40033 0.35285
"62" 0.37272 0.43110 0.38208 0.48115 0.43385
"63" 0.38615 0.44508 0.35797 0.41935 0.44457
"64" 0.39097 0.46661 0.38644 0.49743 0.43618
"65" 0.43718 0.47040 0.44806 0.52965 0.55682
"66" 0.37146 0.44726 0.35542 0.34945 0.36419
"67" 0.38521 0.43936 0.35431 0.45389 0.4527
"68" 0.35213 0.41931 0.36273 0.47388 0.40605
"69" 0.30633 0.40958 0.32325 0.48181 0.45771
"70" 0.41614 0.44763 0.39374 0.55032 0.47031
"71" 0.34601 0.42598 0.34693 0.43263 0.39742
"72" 0.35766 0.42950 0.31469 0.47304 0.41804
"73" 0.36378 0.35666 0.28596 0.44172 0.37182
"74" 0.42317 0.46913 0.35321 0.42651 0.41425
"75" 0.39154 0.45788 0.38156 0.57591 0.45557
