"ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1"  0.50793 0.54727 0.43742 0.54008 0.48292
"2"  0.60365 0.57084 0.47004 0.60496 0.48721
"3"  0.91578 0.53815 0.53307 0.58947 0.53424
"4"  0.71960 0.51693 0.40264 0.44441 0.38635
"5"  0.49126 0.49617 0.35270 0.48069 0.4936
"6"  0.60434 0.59008 0.52227 0.55072 0.43809
"7"  0.42103 0.52382 0.43515 0.48979 0.46779
"8"  0.55227 0.63772 0.54862 0.61934 0.60637
"9"  0.39889 0.49184 0.37020 0.45402 0.47608
"10" 0.47138 0.48876 0.35389 0.51619 0.5707
"11" 0.43044 0.50544 0.41835 0.51656 0.48731
"12" 0.43847 0.52309 0.42952 0.49511 0.46557
"13" 0.45355 0.49319 0.42008 0.54584 0.51024
"14" 0.65675 0.56066 0.49020 0.61851 0.60421
"15" 0.49363 0.58518 0.48032 0.57133 0.54406
"16" 0.36069 0.50011 0.38352 0.45045 0.4891
"17" 0.58964 0.56885 0.50569 0.54586 0.56754
"18" 0.44701 0.47990 0.45662 0.52784 0.52432
"19" 0.43640 0.55000 0.43529 0.53942 0.48109
"20" 0.40271 0.56022 0.48949 0.55382 0.52309
"21" 0.51643 0.48652 0.39701 0.54669 0.51284
"22" 0.46467 0.57583 0.48800 0.59704 0.4943
"23" 0.42727 0.48443 0.42148 0.47792 0.44695
"24" 0.63073 0.55974 0.40374 0.50678 0.49931
"25" 0.37299 0.51447 0.35674 0.47223 0.44528
"26" 0.33227 0.46010 0.37687 0.45611 0.42076
"27" 0.45470 0.57823 0.41720 0.58727 0.52738
"28" 0.78573 0.59176 0.56137 0.60369 0.51833
"29" 0.67584 0.51977 0.34363 0.6088 0.42189
"30" 0.35958 0.49062 0.34463 0.46629 0.46008
"31" 0.48973 0.46855 0.39750 0.47785 0.4438
"32" 0.43240 0.59719 0.54073 0.58273 0.51033
"33" 0.79100 0.58114 0.41198 0.58669 0.51244
"34" 0.49705 0.58653 0.48190 0.58136 0.49336
"35" 0.61142 0.58862 0.48785 0.63061 0.57252
"36" 0.45007 0.52253 0.39442 0.44133 0.50252
"37" 0.59045 0.51591 0.39820 0.51656 0.46735
"38" 0.40880 0.52738 0.48828 0.43257 0.49336
"39" 0.47499 0.49290 0.44397 0.51903 0.47041
"40" 0.42532 0.51562 0.33646 0.41769 0.47006
"41" 0.57540 0.50699 0.36003 0.45663 0.47204
"42" 0.41375 0.48946 0.39999 0.40133 0.47464
"43" 0.45733 0.55776 0.47428 0.55650 0.65683
"44" 0.80501 0.66167 0.60061 0.61589 0.6
"45" 0.80345 0.66990 0.57628 0.60321 0.582
"46" 0.74059 0.62955 0.54252 0.64606 0.59865
"47" 0.45715 0.55790 0.38095 0.44970 0.40979
"48" 0.80430 0.58296 0.48329 0.54576 0.61305
"49" 0.87209 0.52913 0.43516 0.44869 0.53447
"50" 0.43214 0.55270 0.45902 0.50373 0.52244
"51" 0.44117 0.53947 0.43362 0.52510 0.52078
"52" 0.42601 0.57345 0.39923 0.54637 0.5273
"53" 0.44601 0.45652 0.30239 0.50694 0.44518
"54" 0.43933 0.52265 0.38935 0.52135 0.41627
"55" 0.68334 0.59569 0.52178 0.55624 0.50273
"56" 0.54288 0.57203 0.45126 0.49978 0.48543
"57" 0.36890 0.52859 0.41336 0.54758 0.5154
"58" 0.50997 0.54119 0.45051 0.55521 0.5542
"59" 0.38960 0.49237 0.34956 0.41885 0.36653
"60" 0.52797 0.54460 0.47685 0.58311 0.48349
"61" 0.50447 0.54252 0.34174 0.48961 0.48574
"62" 0.42133 0.55752 0.50644 0.55429 0.49598
"63" 0.58314 0.52162 0.41585 0.50972 0.46589
"64" 0.80142 0.47767 0.43733 0.47182 0.45043
"65" 0.59583 0.56979 0.55034 0.66349 0.63292
"66" 0.76983 0.71772 0.59379 0.62580 0.61826
"67" 0.51252 0.57899 0.54866 0.58413 0.58406
"68" 0.87877 0.48931 0.38444 0.45504 0.46811
"69" 0.52698 0.53855 0.41309 0.54351 0.53175
"70" 0.49489 0.58289 0.55886 0.60197 0.62854
"71" 0.41444 0.52416 0.41533 0.54807 0.4263
"72" 0.55437 0.52421 0.41290 0.54475 0.54751
"73" 0.55696 0.52051 0.37469 0.50725 0.40082
"74" 0.58247 0.65886 0.59789 0.69484 0.66688
"75" 0.47147 0.49691 0.37453 0.50669 0.40758
