"ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1"  0.66478 0.76370 0.32583 0.82303 0.77276
"2"  0.66810 0.77088 0.32254 0.82435 0.76537
"3"  0.65548 0.76630 0.31785 0.81342 0.74573
"4"  0.67353 0.77194 0.32635 0.81475 0.76726
"5"  0.65902 0.77895 0.31561 0.84316 0.75386
"6"  0.66125 0.76551 0.31606 0.81621 0.75967
"7"  0.66288 0.76963 0.32133 0.82159 0.77036
"8"  0.65443 0.75044 0.32404 0.80998 0.74529
"9"  0.64447 0.74593 0.30571 0.80315 0.73988
"10" 0.65631 0.77444 0.31589 0.81806 0.76406
"11" 0.67824 0.78830 0.31788 0.83988 0.77839
"12" 0.65471 0.77099 0.31508 0.82956 0.7624
"13" 0.67073 0.78712 0.33072 0.82922 0.78109
"14" 0.66475 0.76076 0.32675 0.82214 0.75979
"15" 0.64545 0.75874 0.31348 0.83166 0.75886
"16" 0.66351 0.78128 0.32678 0.82560 0.75785
"17" 0.66659 0.75818 0.32047 0.80763 0.74248
"18" 0.66098 0.76603 0.31735 0.80398 0.74011
"19" 0.67822 0.78641 0.33307 0.82101 0.75277
"20" 0.65785 0.77671 0.31701 0.81602 0.75839
"21" 0.65594 0.75614 0.32463 0.81653 0.7512
"22" 0.67260 0.76669 0.32481 0.80787 0.77727
"23" 0.66093 0.76707 0.31424 0.81669 0.7501
"24" 0.66354 0.75872 0.31301 0.79953 0.75499
"25" 0.65086 0.76020 0.31897 0.81226 0.76432
"26" 0.67018 0.76253 0.32125 0.83161 0.77905
"27" 0.65941 0.77866 0.31791 0.81792 0.77869
"28" 0.66004 0.77122 0.31640 0.82090 0.75268
"29" 0.65732 0.76083 0.31408 0.81466 0.76171
"30" 0.65098 0.75283 0.32029 0.80061 0.73021
"31" 0.67166 0.75823 0.31283 0.78935 0.74157
"32" 0.64246 0.76378 0.31923 0.83314 0.76102
"33" 0.65886 0.76836 0.32242 0.81811 0.74722
"34" 0.64538 0.76147 0.31677 0.81953 0.74897
"35" 0.66852 0.76406 0.32371 0.79851 0.74857
"36" 0.65998 0.76499 0.31533 0.82929 0.75512
"37" 0.65776 0.76675 0.32078 0.82820 0.76626
"38" 0.65688 0.76425 0.32795 0.81714 0.76214
"39" 0.65580 0.76529 0.32190 0.81288 0.75783
"40" 0.67460 0.76817 0.31228 0.81200 0.75611
"41" 0.66534 0.77522 0.32035 0.81576 0.76425
"42" 0.66999 0.77378 0.31848 0.83916 0.7705
"43" 0.67879 0.78761 0.33580 0.83585 0.77638
"44" 0.64926 0.75522 0.32458 0.83380 0.76561
"45" 0.66733 0.77257 0.32783 0.81968 0.76008
"46" 0.66232 0.76415 0.31964 0.82155 0.76392
"47" 0.65357 0.76006 0.31447 0.82063 0.74431
"48" 0.66492 0.76091 0.31580 0.81709 0.7568
"49" 0.64068 0.76130 0.31674 0.81821 0.76621
"50" 0.65705 0.76946 0.32147 0.80858 0.77038
"51" 0.66491 0.76798 0.31229 0.81190 0.76073
"52" 0.66402 0.78271 0.32473 0.83240 0.74955
"53" 0.66523 0.77186 0.32211 0.82367 0.76141
"54" 0.65189 0.76694 0.31904 0.82437 0.74648
"55" 0.66952 0.77204 0.32631 0.82744 0.75309
"56" 0.66025 0.77074 0.32062 0.81063 0.75277
"57" 0.66982 0.77317 0.33041 0.80162 0.77295
"58" 0.65403 0.76330 0.31251 0.81204 0.76106
"59" 0.68052 0.77689 0.33184 0.82763 0.79271
"60" 0.67142 0.77783 0.31869 0.83450 0.77935
"61" 0.67339 0.78182 0.31823 0.83781 0.76488
"62" 0.65968 0.75494 0.31690 0.80814 0.74836
"63" 0.67064 0.77848 0.32300 0.80743 0.76234
"64" 0.66168 0.76319 0.32620 0.79661 0.7487
"65" 0.65100 0.75334 0.32149 0.81103 0.71798
"66" 0.65476 0.76935 0.32080 0.83158 0.77086
"67" 0.65372 0.77245 0.33072 0.84418 0.74843
"68" 0.65651 0.75947 0.30834 0.80299 0.74458
"69" 0.67366 0.77775 0.31932 0.81693 0.75567
"70" 0.66298 0.77312 0.32252 0.82913 0.78094
"71" 0.65673 0.76227 0.32286 0.81421 0.76298
"72" 0.67222 0.77607 0.32157 0.82976 0.75262
"73" 0.66148 0.76678 0.33260 0.82332 0.77765
"74" 0.65868 0.75641 0.31271 0.79951 0.74808
"75" 0.66245 0.76298 0.32033 0.81648 0.77338
