"ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1"  0.53330 0.58636 0.49094 0.56377 0.50224
"2"  0.44185 0.56284 0.36237 0.52537 0.48539
"3"  0.73541 0.47684 0.43821 0.45912 0.46945
"4"  0.81600 0.47788 0.39740 0.43258 0.45714
"5"  0.70514 0.58172 0.44126 0.48574 0.44849
"6"  0.43587 0.48352 0.30776 0.48108 0.50984
"7"  0.73101 0.52136 0.46955 0.55151 0.53773
"8"  0.39506 0.53475 0.50850 0.49634 0.4697
"9"  0.41786 0.50758 0.38158 0.44233 0.45512
"10" 0.39914 0.52121 0.36394 0.51278 0.50897
"11" 0.62568 0.59019 0.46033 0.57602 0.53912
"12" 0.52860 0.50423 0.37123 0.41111 0.45341
"13" 0.55244 0.53446 0.38770 0.55610 0.49507
"14" 0.69831 0.42960 0.36740 0.49303 0.50052
"15" 0.38865 0.47657 0.32337 0.42495 0.42882
"16" 0.46914 0.58851 0.39425 0.54289 0.51602
"17" 0.45609 0.48840 0.36351 0.44629 0.39959
"18" 0.70762 0.47317 0.40555 0.53194 0.62283
"19" 0.54444 0.56776 0.38932 0.59345 0.50579
"20" 0.44233 0.53416 0.53362 0.40326 0.48715
"21" 0.37185 0.47338 0.38629 0.51860 0.45322
"22" 0.59622 0.53771 0.41155 0.54777 0.46928
"23" 0.39628 0.50509 0.41264 0.50626 0.47859
"24" 0.45196 0.61296 0.46544 0.52823 0.49876
"25" 0.45222 0.54229 0.49736 0.57683 0.53903
"26" 0.67418 0.61464 0.55841 0.59015 0.50376
"27" 0.45242 0.53582 0.43760 0.51759 0.46277
"28" 0.36278 0.44662 0.33713 0.55350 0.41251
"29" 0.46097 0.57193 0.43834 0.42771 0.48098
"30" 0.60177 0.56547 0.47776 0.47270 0.43675
"31" 0.57527 0.54223 0.44221 0.50061 0.46352
"32" 0.52652 0.47564 0.43067 0.47356 0.45371
"33" 0.71309 0.62609 0.53868 0.63493 0.62132
"34" 0.46962 0.50364 0.43493 0.44265 0.41548
"35" 0.47134 0.47253 0.30659 0.48096 0.41827
"36" 0.49505 0.56208 0.47369 0.46801 0.45844
"37" 0.50350 0.54851 0.44758 0.53727 0.53301
"38" 0.64483 0.52691 0.42713 0.53873 0.46507
"39" 0.48501 0.53293 0.48024 0.52346 0.51614
"40" 0.42042 0.53729 0.41123 0.53566 0.52024
"41" 0.63108 0.56721 0.48636 0.58308 0.49901
"42" 0.56200 0.56386 0.43503 0.50474 0.49763
"43" 0.47407 0.54725 0.44228 0.54039 0.51113
"44" 0.63733 0.57757 0.49786 0.55113 0.54958
"45" 0.40663 0.44652 0.36989 0.50138 0.42678
"46" 0.68009 0.62895 0.49608 0.61484 0.57099
"47" 0.49801 0.56876 0.38013 0.63478 0.47071
"48" 0.52633 0.54974 0.51046 0.49314 0.44967
"49" 0.43814 0.56322 0.53759 0.51853 0.51827
"50" 0.49625 0.46753 0.31762 0.52317 0.43453
"51" 0.36327 0.48769 0.35476 0.43820 0.49501
"52" 0.51871 0.57090 0.49627 0.61219 0.63325
"53" 0.56888 0.48062 0.34495 0.56030 0.47831
"54" 0.43310 0.49614 0.36176 0.48566 0.47105
"55" 0.46260 0.48256 0.37221 0.50973 0.60286
"56" 0.45386 0.51801 0.50210 0.50919 0.54753
"57" 0.61077 0.61992 0.52493 0.58615 0.59224
"58" 0.69671 0.55389 0.52156 0.53157 0.49871
"59" 0.48403 0.53554 0.36652 0.53164 0.54638
"60" 0.34880 0.41481 0.29994 0.41983 0.39156
"61" 0.50758 0.51970 0.47199 0.47805 0.42089
"62" 0.66288 0.57947 0.45409 0.53446 0.52938
"63" 0.56597 0.60877 0.51645 0.66833 0.64168
"64" 0.65411 0.59159 0.52492 0.52883 0.5198
"65" 0.71779 0.57291 0.58262 0.56486 0.53185
"66" 0.50356 0.52017 0.46972 0.48802 0.49007
"67" 0.44908 0.52556 0.43507 0.53391 0.55973
"68" 0.59287 0.59276 0.48258 0.63955 0.61378
"69" 0.43964 0.52462 0.45019 0.60271 0.56416
"70" 0.56912 0.60730 0.53214 0.59073 0.60288
"71" 0.31353 0.46821 0.38912 0.43964 0.44618
"72" 0.50174 0.68006 0.54335 0.64555 0.59848
"73" 0.36477 0.45505 0.29027 0.42323 0.47251
"74" 0.72138 0.52265 0.35543 0.50513 0.48254
"75" 0.53634 0.58799 0.53336 0.61624 0.52964
