"ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1"  0.64038 0.75790 0.31077 0.80119 0.73954
"2"  0.66147 0.76000 0.32424 0.82041 0.76523
"3"  0.65789 0.76357 0.31522 0.81766 0.75092
"4"  0.66786 0.77401 0.32294 0.81281 0.7585
"5"  0.64986 0.74978 0.33230 0.79168 0.73953
"6"  0.66720 0.77384 0.32860 0.80941 0.76511
"7"  0.67250 0.76933 0.32467 0.82000 0.74859
"8"  0.67245 0.77165 0.31999 0.81067 0.75814
"9"  0.67187 0.76270 0.32543 0.81726 0.76223
"10" 0.66756 0.76598 0.32654 0.82108 0.75393
"11" 0.65777 0.76822 0.30971 0.81878 0.75722
"12" 0.67164 0.77848 0.32385 0.82418 0.7722
"13" 0.65716 0.75009 0.32247 0.81120 0.73266
"14" 0.67597 0.76887 0.33532 0.83517 0.7534
"15" 0.67478 0.77830 0.32145 0.81756 0.75765
"16" 0.67547 0.77204 0.32449 0.81309 0.74604
"17" 0.67284 0.76854 0.31678 0.82233 0.77267
"18" 0.67224 0.77262 0.33898 0.82885 0.78058
"19" 0.67325 0.77224 0.32473 0.81928 0.74504
"20" 0.67238 0.78031 0.31866 0.82101 0.75534
"21" 0.66544 0.76320 0.32817 0.83275 0.74495
"22" 0.66984 0.77419 0.33005 0.83372 0.76838
"23" 0.66308 0.77208 0.33323 0.82881 0.75934
"24" 0.65519 0.75987 0.31424 0.80338 0.73361
"25" 0.66063 0.76142 0.32352 0.80477 0.76629
"26" 0.65960 0.77180 0.32222 0.83871 0.75781
"27" 0.66044 0.77209 0.33285 0.80953 0.73879
"28" 0.66067 0.77688 0.31336 0.82559 0.77676
"29" 0.64646 0.74873 0.31681 0.80981 0.73253
"30" 0.65019 0.76662 0.32529 0.82900 0.76683
"31" 0.66501 0.76949 0.32533 0.83910 0.74327
"32" 0.64544 0.76284 0.31893 0.82074 0.75155
"33" 0.68293 0.78474 0.33089 0.85118 0.76148
"34" 0.65921 0.77894 0.32610 0.81941 0.77228
"35" 0.65985 0.76027 0.31963 0.81307 0.73996
"36" 0.65039 0.75430 0.32687 0.81454 0.75276
"37" 0.65741 0.76578 0.32146 0.82926 0.75755
"38" 0.66399 0.75672 0.32096 0.80131 0.73903
"39" 0.66392 0.77363 0.31401 0.82782 0.76651
"40" 0.65626 0.76548 0.32374 0.82908 0.76567
"41" 0.65922 0.77176 0.31647 0.82332 0.77557
"42" 0.65639 0.76756 0.32155 0.83572 0.7569
"43" 0.65555 0.77342 0.31484 0.82935 0.77755
"44" 0.65501 0.76232 0.31927 0.83163 0.76712
"45" 0.65565 0.77252 0.32373 0.82345 0.75039
"46" 0.67384 0.77167 0.32733 0.81792 0.76564
"47" 0.65763 0.76233 0.33044 0.81262 0.76324
"48" 0.66793 0.76112 0.31780 0.81604 0.745
"49" 0.65454 0.76334 0.30974 0.81899 0.73843
"50" 0.64380 0.76249 0.31960 0.81323 0.75285
"51" 0.64467 0.74920 0.31292 0.80828 0.73471
"52" 0.64966 0.75966 0.31720 0.83363 0.73506
"53" 0.65507 0.75407 0.31717 0.81622 0.76872
"54" 0.65324 0.75273 0.31395 0.78760 0.72704
"55" 0.67090 0.76617 0.32155 0.83434 0.7572
"56" 0.66349 0.76182 0.31502 0.81342 0.74589
"57" 0.66747 0.75514 0.32457 0.80303 0.76689
"58" 0.66500 0.76434 0.32624 0.80931 0.76289
"59" 0.67638 0.78254 0.33841 0.83385 0.75479
"60" 0.66101 0.77778 0.32089 0.83701 0.77111
"61" 0.65420 0.75967 0.32117 0.81203 0.75137
"62" 0.67748 0.77467 0.32582 0.82090 0.75482
"63" 0.66352 0.76523 0.33705 0.81615 0.74952
"64" 0.63725 0.75876 0.31333 0.82575 0.75784
"65" 0.67002 0.78676 0.32953 0.82620 0.76134
"66" 0.67787 0.77467 0.32374 0.81115 0.77717
"67" 0.66093 0.76449 0.32052 0.81863 0.75406
"68" 0.67038 0.77488 0.32580 0.82060 0.74121
"69" 0.66238 0.76395 0.31891 0.82358 0.77032
"70" 0.66343 0.76690 0.31495 0.81087 0.76683
"71" 0.66028 0.76839 0.31968 0.80578 0.74254
"72" 0.66531 0.77005 0.31375 0.81723 0.75122
"73" 0.66561 0.75843 0.32464 0.81746 0.76956
"74" 0.67064 0.77597 0.31931 0.83097 0.74837
"75" 0.66998 0.78499 0.32775 0.82654 0.77575
