"ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1" 0.65294 0.75229 0.31778 0.80095 0.73411
"2" 0.65867 0.76947 0.32192 0.80638 0.75246
"3" 0.66089 0.7723 0.31785 0.81225 0.74727
"4" 0.65227 0.76478 0.32002 0.82694 0.77016
"5" 0.65767 0.76278 0.31507 0.82655 0.77831
"6" 0.6726 0.76959 0.33461 0.80773 0.76778
"7" 0.66839 0.76811 0.32102 0.81236 0.76877
"8" 0.65882 0.7486 0.31694 0.78948 0.7309
"9" 0.66349 0.76651 0.31677 0.81041 0.73416
"10" 0.66902 0.77667 0.32885 0.82311 0.76122
"11" 0.66067 0.76966 0.33224 0.82083 0.75832
"12" 0.66322 0.7555 0.31562 0.79711 0.74273
"13" 0.65445 0.76513 0.32462 0.80658 0.76013
"14" 0.64818 0.76414 0.31688 0.82032 0.74121
"15" 0.678 0.79281 0.32647 0.82492 0.73491
"16" 0.65402 0.75885 0.3194 0.82032 0.76822
"17" 0.65028 0.75502 0.3189 0.82583 0.74936
"18" 0.66265 0.77244 0.3277 0.81587 0.73995
"19" 0.65195 0.75777 0.31821 0.8056 0.75631
"20" 0.67094 0.77962 0.32425 0.82268 0.77722
"21" 0.66446 0.77248 0.32278 0.81912 0.76694
"22" 0.65026 0.76831 0.3169 0.8092 0.73334
"23" 0.67964 0.77373 0.32501 0.83156 0.76134
"24" 0.66632 0.77116 0.31355 0.80256 0.73096
"25" 0.66111 0.76282 0.31269 0.83237 0.76803
"26" 0.66726 0.76287 0.31287 0.80188 0.74516
"27" 0.66313 0.76637 0.3181 0.81403 0.76822
"28" 0.65846 0.77048 0.31832 0.82611 0.75958
"29" 0.65695 0.76183 0.3158 0.79943 0.74283
"30" 0.64832 0.76076 0.31829 0.80538 0.74284
"31" 0.66951 0.7646 0.32013 0.83364 0.77539
"32" 0.66037 0.77193 0.32497 0.82132 0.75014
"33" 0.67476 0.77271 0.31975 0.82901 0.77395
"34" 0.66387 0.77561 0.32124 0.81017 0.76415
"35" 0.65267 0.75073 0.32258 0.7993 0.74107
"36" 0.65762 0.76523 0.32938 0.81507 0.75856
"37" 0.65617 0.76073 0.31996 0.82069 0.74758
"38" 0.65782 0.77305 0.31346 0.83174 0.77004
"39" 0.67307 0.77433 0.32655 0.83673 0.77167
"40" 0.67499 0.76937 0.32039 0.81621 0.7355
"41" 0.66602 0.77338 0.3258 0.8115 0.75558
"42" 0.66287 0.76708 0.3271 0.80767 0.76162
"43" 0.65734 0.76487 0.32092 0.81324 0.73737
"44" 0.66121 0.77156 0.32215 0.8234 0.75796
"45" 0.66649 0.78479 0.32147 0.81611 0.78789
"46" 0.65263 0.7599 0.32482 0.80384 0.7533
"47" 0.66267 0.7665 0.32408 0.81157 0.74273
"48" 0.6459 0.75754 0.31827 0.83188 0.76652
"49" 0.67813 0.76014 0.32683 0.80434 0.73981
"50" 0.67709 0.77357 0.32933 0.84166 0.77961
"51" 0.65296 0.75392 0.31536 0.79778 0.71997
"52" 0.66534 0.77293 0.31985 0.82516 0.76429
"53" 0.6656 0.77026 0.32594 0.83461 0.76942
"54" 0.64596 0.75897 0.32671 0.8175 0.75823
"55" 0.65174 0.76667 0.31406 0.81806 0.74768
"56" 0.65451 0.76431 0.31575 0.82167 0.74127
"57" 0.6574 0.77029 0.3198 0.81219 0.77771
"58" 0.67625 0.77949 0.32428 0.8244 0.77128
"59" 0.66545 0.76303 0.32935 0.81314 0.73598
"60" 0.67009 0.78079 0.31441 0.82693 0.78435
"61" 0.65598 0.76959 0.31806 0.8205 0.75927
"62" 0.66137 0.75902 0.32518 0.83146 0.74477
"63" 0.66031 0.77348 0.32275 0.81027 0.76321
"64" 0.65331 0.76326 0.31281 0.80959 0.73937
"65" 0.66588 0.77391 0.3208 0.82269 0.77804
"66" 0.6692 0.77481 0.32759 0.83416 0.74454
"67" 0.65607 0.75901 0.31177 0.8136 0.76576
"68" 0.65948 0.7588 0.30473 0.81171 0.75326
"69" 0.67455 0.77484 0.32603 0.82829 0.78225
"70" 0.6542 0.77059 0.32158 0.81521 0.75664
"71" 0.65595 0.75601 0.33548 0.80784 0.75078
"72" 0.6681 0.78104 0.33672 0.83561 0.75702
"73" 0.65992 0.75052 0.31945 0.80137 0.74267
"74" 0.64923 0.74658 0.31842 0.79379 0.75855
"75" 0.65091 0.75734 0.31997 0.82289 0.76052
