"error" "lambda"
"1" 0.143172748522566 "0.5"
"2" 0.146806154138136 "0.5"
"3" 0.149892735056368 "0.5"
"4" 0.152310804406566 "0.5"
"5" 0.146055987612995 "0.5"
"6" 0.142265079518502 "0.55"
"7" 0.138653665990863 "0.55"
"8" 0.146079549578096 "0.55"
"9" 0.144076777498587 "0.55"
"10" 0.14329020627046 "0.55"
"11" 0.147980904567294 "0.61"
"12" 0.139693573209746 "0.61"
"13" 0.146341686649997 "0.61"
"14" 0.13575050280094 "0.61"
"15" 0.152087013618321 "0.61"
"16" 0.160360977858624 "0.66"
"17" 0.140824857217518 "0.66"
"18" 0.148183426570056 "0.66"
"19" 0.146121218764333 "0.66"
"20" 0.147193680842521 "0.66"
"21" 0.152140393677203 "0.71"
"22" 0.138955980904599 "0.71"
"23" 0.147032193106822 "0.71"
"24" 0.144701009206737 "0.71"
"25" 0.151852999146412 "0.71"
"26" 0.150025325271073 "0.76"
"27" 0.153362234017095 "0.76"
"28" 0.152654049341255 "0.76"
"29" 0.139733196967341 "0.76"
"30" 0.157596371651102 "0.76"
"31" 0.148038148998682 "0.82"
"32" 0.154196100284706 "0.82"
"33" 0.146171641019056 "0.82"
"34" 0.135068938357284 "0.82"
"35" 0.149549679667079 "0.82"
"36" 0.140734035144425 "0.87"
"37" 0.146761973532394 "0.87"
"38" 0.146124240378853 "0.87"
"39" 0.157576938838838 "0.87"
"40" 0.154689084655377 "0.87"
"41" 0.15042224683147 "0.92"
"42" 0.144611566778992 "0.92"
"43" 0.148602204189546 "0.92"
"44" 0.148999711444248 "0.92"
"45" 0.139522153176546 "0.92"
"46" 0.154283561846913 "0.97"
"47" 0.1480773758097 "0.97"
"48" 0.138034707393758 "0.97"
"49" 0.144926361579889 "0.97"
"50" 0.135274074398799 "0.97"
"51" 0.15650367481202 "1.03"
"52" 0.165618682770102 "1.03"
"53" 0.166581381532404 "1.03"
"54" 0.150989467794633 "1.03"
"55" 0.151334288084591 "1.03"
"56" 0.17798974704922 "1.08"
"57" 0.160144464750287 "1.08"
"58" 0.191738733985977 "1.08"
"59" 0.155846575828749 "1.08"
"60" 0.172215183393318 "1.08"
"61" 0.191275574182376 "1.13"
"62" 0.185696940073456 "1.13"
"63" 0.191201748671967 "1.13"
"64" 0.19258957992272 "1.13"
"65" 0.158141381392019 "1.13"
"66" 0.196295213508069 "1.18"
"67" 0.155702240475322 "1.18"
"68" 0.191899922217782 "1.18"
"69" 0.190486350280669 "1.18"
"70" 0.19006922754086 "1.18"
"71" 0.19941702212501 "1.24"
"72" 0.189024156219336 "1.24"
"73" 0.188321931548036 "1.24"
"74" 0.183305606194664 "1.24"
"75" 0.195774004407615 "1.24"
"76" 0.198807032835582 "1.29"
"77" 0.182384727125529 "1.29"
"78" 0.1877128591948 "1.29"
"79" 0.183996521167169 "1.29"
"80" 0.18864615010575 "1.29"
"81" 0.195777200672088 "1.34"
"82" 0.197376958223665 "1.34"
"83" 0.186409053676098 "1.34"
"84" 0.190640269244658 "1.34"
"85" 0.197438290005177 "1.34"
"86" 0.18924154002375 "1.39"
"87" 0.179168437202421 "1.39"
"88" 0.186153795833813 "1.39"
"89" 0.187808776859634 "1.39"
"90" 0.186142812726228 "1.39"
"91" 0.195836761458874 "1.45"
"92" 0.18705464009835 "1.45"
"93" 0.19597639253223 "1.45"
"94" 0.193654400955853 "1.45"
"95" 0.191944521337192 "1.45"
"96" 0.191771772820923 "1.5"
"97" 0.193149890384863 "1.5"
"98" 0.181662789064512 "1.5"
"99" 0.190937395661368 "1.5"
"100" 0.19761387310981 "1.5"
