"error" "lambda"
"1" 0.211383503400588 "1"
"2" 0.210859355550534 "1"
"3" 0.2112500142083 "1"
"4" 0.21161855901951 "1"
"5" 0.214051763793552 "1"
"6" 0.226091401951206 "1.053"
"7" 0.223292211691863 "1.053"
"8" 0.225154754284867 "1.053"
"9" 0.225473949046744 "1.053"
"10" 0.221117845633658 "1.053"
"11" 0.230079201675503 "1.105"
"12" 0.224596708108416 "1.105"
"13" 0.228498826334047 "1.105"
"14" 0.224512120294275 "1.105"
"15" 0.259484461022006 "1.105"
"16" 0.222061461267071 "1.158"
"17" 0.225117352730375 "1.158"
"18" 0.221716769134543 "1.158"
"19" 0.229560199900488 "1.158"
"20" 0.257260838347645 "1.158"
"21" 0.220837862802268 "1.211"
"22" 0.225345438031757 "1.211"
"23" 0.22782126487301 "1.211"
"24" 0.22274760756244 "1.211"
"25" 0.224288896064557 "1.211"
"26" 0.257620402943922 "1.263"
"27" 0.223758500542436 "1.263"
"28" 0.222277594101758 "1.263"
"29" 0.228200020625155 "1.263"
"30" 0.223237229318876 "1.263"
"31" 0.221705347316278 "1.316"
"32" 0.226041752773545 "1.316"
"33" 0.223378891831061 "1.316"
"34" 0.223175865539731 "1.316"
"35" 0.263434026270539 "1.316"
"36" 0.224416920464187 "1.368"
"37" 0.221189684291636 "1.368"
"38" 0.227533113873986 "1.368"
"39" 0.225693012196679 "1.368"
"40" 0.225630415399177 "1.368"
"41" 0.227231251571126 "1.421"
"42" 0.222116735833955 "1.421"
"43" 0.223755227260745 "1.421"
"44" 0.222710608069819 "1.421"
"45" 0.226380811413016 "1.421"
"46" 0.259017987348012 "1.474"
"47" 0.22205491896762 "1.474"
"48" 0.225140380619147 "1.474"
"49" 0.222914368717851 "1.474"
"50" 0.230115852402506 "1.474"
"51" 0.224753767496461 "1.526"
"52" 0.22419547089027 "1.526"
"53" 0.224798364619325 "1.526"
"54" 0.222480282373716 "1.526"
"55" 0.229147121272034 "1.526"
"56" 0.221258026850181 "1.579"
"57" 0.224962104057191 "1.579"
"58" 0.226379321488274 "1.579"
"59" 0.223448851383632 "1.579"
"60" 0.220152776395656 "1.579"
"61" 0.224226148540771 "1.632"
"62" 0.225371084646133 "1.632"
"63" 0.225591913654573 "1.632"
"64" 0.25650454465677 "1.632"
"65" 0.229036464118215 "1.632"
"66" 0.224146046100736 "1.684"
"67" 0.220647594206088 "1.684"
"68" 0.22471591304153 "1.684"
"69" 0.223285280623491 "1.684"
"70" 0.223167491166004 "1.684"
"71" 0.224897763970479 "1.737"
"72" 0.226754804133327 "1.737"
"73" 0.22645948707932 "1.737"
"74" 0.227880791454254 "1.737"
"75" 0.221123777720879 "1.737"
"76" 0.223986859823899 "1.789"
"77" 0.222765082747348 "1.789"
"78" 0.222454665987012 "1.789"
"79" 0.229933511740075 "1.789"
"80" 0.224233128083428 "1.789"
"81" 0.224920975375949 "1.842"
"82" 0.223556884688416 "1.842"
"83" 0.222653085085179 "1.842"
"84" 0.226433648673669 "1.842"
"85" 0.222193058004903 "1.842"
"86" 0.227652296332972 "1.895"
"87" 0.262217556309382 "1.895"
"88" 0.22624181492109 "1.895"
"89" 0.223509422759479 "1.895"
"90" 0.224964575787771 "1.895"
"91" 0.225909852360125 "1.947"
"92" 0.223739263521192 "1.947"
"93" 0.222121252962478 "1.947"
"94" 0.224887555014052 "1.947"
"95" 0.223478745784721 "1.947"
"96" 0.222702826527849 "2"
"97" 0.227872617415688 "2"
"98" 0.225101652171686 "2"
"99" 0.228315971587109 "2"
"100" 0.224418449286589 "2"
