"error" "method"
"1" 0.197233624112053 "GA.Poly"
"2" 0.20206922684937 "GA.Poly"
"3" 0.209441185219361 "GA.Poly"
"4" 0.200678405109828 "GA.Poly"
"5" 0.203825569560715 "GA.Poly"
"6" 0.202431257961605 "GA.Poly"
"7" 0.20312619308014 "GA.Poly"
"8" 0.195805342865807 "GA.Poly"
"9" 0.19740674638101 "GA.Poly"
"10" 0.196022579320527 "GA.Poly"
"11" 0.20349493762635 "Lin.Reg."
"12" 0.200534941333994 "Lin.Reg."
"13" 0.205389086391953 "Lin.Reg."
"14" 0.20323444006249 "Lin.Reg."
"15" 0.202187607523973 "Lin.Reg."
"16" 0.201721935300742 "Lin.Reg."
"17" 0.19890025864695 "Lin.Reg."
"18" 0.201722393748188 "Lin.Reg."
"19" 0.195978478075125 "Lin.Reg."
"20" 0.199155221098485 "Lin.Reg."
"21" 0.20641382755185 "SVM"
"22" 0.20350971670436 "SVM"
"23" 0.207894296061354 "SVM"
"24" 0.206179059420179 "SVM"
"25" 0.203728406362388 "SVM"
"26" 0.203777663179533 "SVM"
"27" 0.200691175816532 "SVM"
"28" 0.20413294814603 "SVM"
"29" 0.19760539754443 "SVM"
"30" 0.201535521911133 "SVM"
"31" 0.215367469804921 "RPART"
"32" 0.216895220123276 "RPART"
"33" 0.219071904454242 "RPART"
"34" 0.216135468361992 "RPART"
"35" 0.213755914944469 "RPART"
"36" 0.213431344145753 "RPART"
"37" 0.212471259278884 "RPART"
"38" 0.216771436015377 "RPART"
"39" 0.209372962438251 "RPART"
"40" 0.217254744850727 "RPART"
"41" 0.15052950730495 "Rnd.For."
"42" 0.151524624869377 "Rnd.For."
"43" 0.153169657637775 "Rnd.For."
"44" 0.150646439858151 "Rnd.For."
"45" 0.150208478813136 "Rnd.For."
"46" 0.148618320736355 "Rnd.For."
"47" 0.147247785937211 "Rnd.For."
"48" 0.149322771109571 "Rnd.For."
"49" 0.145910526649353 "Rnd.For."
"50" 0.147534806481978 "Rnd.For."
"51" 0.198454953914254 "CI.Tree"
"52" 0.204199327968362 "CI.Tree"
"53" 0.204924948386529 "CI.Tree"
"54" 0.204811673659263 "CI.Tree"
"55" 0.202423001626696 "CI.Tree"
"56" 0.200853592632835 "CI.Tree"
"57" 0.195739861207458 "CI.Tree"
"58" 0.195210219746958 "CI.Tree"
"59" 0.193262689514287 "CI.Tree"
"60" 0.197677251747491 "CI.Tree"
