"ga.eprr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.38833 0.50344 0.48803 0.48552 0.34226 0.51872
"2" 0.42784 0.56614 0.60556 0.51327 0.36265 0.46518
"3" 0.36139 0.48821 0.45216 0.44961 0.28577 0.42592
"4" 0.44226 0.47458 0.43811 0.44572 0.29185 0.45687
"5" 0.56396 0.56526 0.59743 0.60631 0.45859 0.59459
"6" 0.51036 0.60793 0.6478 0.56442 0.50937 0.55495
"7" 0.82151 0.52325 0.5613 0.46008 0.32089 0.473
"8" 0.8741 0.47006 0.46845 0.50037 0.34348 0.44125
"9" 0.47113 0.56814 0.55358 0.42254 0.35327 0.39042
"10" 0.54718 0.48476 0.51365 0.53499 0.36473 0.50347
"11" 0.46065 0.5101 0.53956 0.4366 0.31517 0.41874
"12" 0.38773 0.48943 0.49459 0.47737 0.34005 0.47235
"13" 0.52346 0.50719 0.48011 0.61193 0.39441 0.52248
"14" 1.17441 0.56561 0.61132 0.59337 0.40272 0.52719
"15" 0.4256 0.49024 0.51237 0.5147 0.34398 0.46495
"16" 0.55685 0.57414 0.60345 0.58075 0.48462 0.55388
"17" 0.48274 0.54296 0.56154 0.61101 0.40028 0.61082
"18" 0.59201 0.59295 0.60502 0.59062 0.43371 0.52707
"19" 0.44053 0.54496 0.54852 0.51863 0.38254 0.57398
"20" 0.45709 0.54695 0.57884 0.5693 0.42365 0.55573
"21" 4.63524 0.50763 0.54592 0.51833 0.30432 0.44982
"22" 0.51927 0.59312 0.62849 0.57164 0.38877 0.58786
"23" 0.5874 0.5695 0.58362 0.5545 0.44735 0.55108
"24" 0.51735 0.55149 0.58521 0.52505 0.40297 0.51784
"25" 0.39467 0.51533 0.55615 0.48414 0.35983 0.54182
"26" 0.36994 0.55633 0.57645 0.5211 0.39897 0.51982
"27" 0.36125 0.45138 0.46537 0.42262 0.30632 0.44643
"28" 0.97421 0.50765 0.53645 0.49448 0.31397 0.5374
"29" 0.4032 0.52603 0.54337 0.57019 0.39166 0.49467
"30" 0.42918 0.4337 0.44047 0.50021 0.29969 0.41595
"31" 0.54301 0.56293 0.60758 0.59236 0.41502 0.57498
"32" 0.58255 0.63345 0.67804 0.65823 0.48605 0.60874
"33" 0.42758 0.54112 0.57838 0.52386 0.3777 0.52296
"34" 0.54138 0.53865 0.49631 0.51152 0.34779 0.46071
"35" 0.49304 0.55317 0.56279 0.55458 0.38523 0.55045
"36" 0.56587 0.53689 0.57942 0.52525 0.37193 0.56813
"37" 0.50815 0.53867 0.55755 0.58238 0.37171 0.52132
"38" 0.38109 0.52265 0.56442 0.46315 0.37499 0.50573
"39" 0.50222 0.5508 0.5639 0.62241 0.37137 0.61574
"40" 0.32708 0.4647 0.4616 0.42916 0.30559 0.41202
"41" 0.33278 0.43675 0.46257 0.46416 0.29097 0.40766
"42" 0.58024 0.65045 0.69831 0.5898 0.49326 0.66269
"43" 0.42847 0.55294 0.58758 0.49757 0.36196 0.49272
"44" 0.38928 0.51545 0.50048 0.42221 0.33432 0.48298
"45" 0.70077 0.48652 0.48019 0.45196 0.31235 0.52571
"46" 0.38856 0.53595 0.55536 0.51365 0.35787 0.45973
"47" 0.45767 0.52628 0.55732 0.49447 0.39337 0.53367
"48" 0.59183 0.53414 0.56707 0.56918 0.43106 0.55752
"49" 0.46404 0.53524 0.56678 0.52766 0.37701 0.51135
"50" 0.42705 0.53499 0.54596 0.5348 0.38143 0.4957
"51" 0.38085 0.51515 0.50549 0.48729 0.33825 0.43262
"52" 0.36906 0.43261 0.42348 0.41442 0.31772 0.3952
"53" 0.49775 0.54474 0.58016 0.57223 0.34859 0.54951
"54" 0.58193 0.57824 0.60818 0.60753 0.5127 0.58997
"55" 0.47877 0.50725 0.52302 0.50449 0.35913 0.56226
"56" 0.43646 0.518 0.53398 0.49954 0.34221 0.46506
"57" 0.33784 0.44848 0.46376 0.39857 0.26939 0.3571
"58" 0.46781 0.55123 0.56951 0.54089 0.33921 0.50291
"59" 0.41738 0.55512 0.54806 0.58273 0.38299 0.55628
"60" 13.3635 0.56867 0.61022 0.54568 0.41147 0.50975
"61" 0.47767 0.52064 0.50963 0.55843 0.36643 0.49109
"62" 0.55654 0.55511 0.5766 0.47585 0.33515 0.45433
"63" 0.66667 0.52724 0.57279 0.46031 0.34279 0.51494
"64" 0.425 0.52392 0.52225 0.52042 0.39371 0.54234
"65" 0.46652 0.60097 0.66691 0.50154 0.46292 0.55339
"66" 0.52146 0.60919 0.64942 0.57279 0.46316 0.54743
"67" 13.80319 0.55135 0.60399 0.49919 0.37842 0.50871
"68" 0.91856 0.48439 0.47516 0.48259 0.3183 0.40941
"69" 0.40629 0.52018 0.51731 0.45004 0.33541 0.492
"70" 0.54708 0.49725 0.50593 0.57156 0.34994 0.49656
"71" 0.50375 0.51611 0.4996 0.53324 0.38824 0.56314
"72" 0.51524 0.61792 0.65983 0.59644 0.5179 0.64366
"73" 0.55443 0.52626 0.53158 0.49162 0.31357 0.47459
"74" 0.5914 0.58039 0.62483 0.55021 0.39486 0.51941
"75" 0.53019 0.54876 0.56335 0.51764 0.38114 0.50066
