"ga.eprr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.67309 0.78045 0.78901 0.8409 0.58707 0.76896
"2" 0.6613 0.75464 0.76252 0.81338 0.55964 0.74136
"3" 0.65689 0.75453 0.75832 0.80351 0.56544 0.7436
"4" 0.65879 0.75909 0.76382 0.83416 0.56129 0.74936
"5" 0.6631 0.76457 0.76687 0.81468 0.5746 0.75242
"6" 0.6728 0.76095 0.77176 0.80928 0.57037 0.75396
"7" 0.66254 0.78261 0.79889 0.82709 0.58361 0.77854
"8" 0.6709 0.77724 0.78281 0.8284 0.58744 0.78097
"9" 0.66794 0.76119 0.77273 0.80717 0.5656 0.75604
"10" 0.67501 0.7602 0.76697 0.80719 0.57141 0.74396
"11" 0.67023 0.77038 0.77899 0.84475 0.5667 0.75345
"12" 0.66621 0.77537 0.786 0.83624 0.57788 0.77328
"13" 0.66785 0.76026 0.76968 0.81223 0.56498 0.75632
"14" 0.65658 0.75904 0.76928 0.82194 0.57644 0.75477
"15" 0.68645 0.78895 0.79725 0.82595 0.58029 0.75655
"16" 0.66809 0.78015 0.79402 0.81308 0.57409 0.74801
"17" 0.67422 0.77593 0.78689 0.84276 0.58245 0.77566
"18" 0.68547 0.7806 0.79 0.82506 0.58212 0.7539
"19" 0.67356 0.76566 0.7702 0.82241 0.56627 0.76007
"20" 0.6862 0.77578 0.78008 0.83302 0.57496 0.76433
"21" 0.67392 0.77149 0.77887 0.82161 0.57597 0.75393
"22" 0.67339 0.75314 0.76065 0.81454 0.5647 0.76017
"23" 0.66764 0.75356 0.75922 0.80009 0.56697 0.76143
"24" 0.65694 0.74973 0.75797 0.80019 0.55736 0.72885
"25" 0.67367 0.77162 0.77961 0.83106 0.58585 0.78723
"26" 0.67893 0.77756 0.78969 0.81749 0.58325 0.76886
"27" 0.656 0.76324 0.77539 0.80022 0.56389 0.75842
"28" 0.66559 0.76258 0.77224 0.81633 0.57131 0.76673
"29" 0.66607 0.76942 0.77541 0.81259 0.57139 0.74619
"30" 0.67934 0.77168 0.77917 0.81705 0.56542 0.73264
"31" 0.65786 0.76782 0.7758 0.82708 0.5697 0.7757
"32" 0.66487 0.76732 0.77487 0.82555 0.5686 0.76177
"33" 0.64753 0.75213 0.75571 0.80247 0.56293 0.75011
"34" 0.67026 0.76836 0.7768 0.81952 0.57755 0.76182
"35" 0.67297 0.76563 0.7736 0.82128 0.57504 0.76134
"36" 0.65626 0.74746 0.75551 0.81287 0.55784 0.74624
"37" 0.65586 0.75127 0.763 0.79967 0.54711 0.74018
"38" 0.67444 0.76457 0.77578 0.80893 0.56117 0.75157
"39" 0.65297 0.76361 0.77225 0.81431 0.56847 0.74757
"40" 0.67881 0.78133 0.79066 0.83009 0.58641 0.7622
"41" 0.67076 0.76284 0.77372 0.79964 0.5653 0.74607
"42" 0.68151 0.77654 0.78505 0.82356 0.5789 0.77654
"43" 0.67463 0.76324 0.7726 0.81385 0.56573 0.74834
"44" 0.6778 0.7784 0.78263 0.84164 0.5795 0.7562
"45" 0.68504 0.78265 0.79394 0.8199 0.58022 0.78108
"46" 0.65699 0.75739 0.76582 0.80715 0.56232 0.75707
"47" 0.66916 0.76582 0.775 0.80248 0.56479 0.74014
"48" 0.67355 0.78151 0.79122 0.83679 0.58222 0.75865
"49" 0.67393 0.77109 0.78242 0.8163 0.57553 0.73856
"50" 0.67993 0.77139 0.78486 0.81439 0.57203 0.75916
"51" 0.69953 0.78552 0.79431 0.83356 0.59228 0.75603
"52" 0.65897 0.75492 0.76431 0.80403 0.55433 0.75056
"53" 0.66482 0.77297 0.78681 0.81921 0.57693 0.75334
"54" 0.65325 0.76607 0.77799 0.82188 0.56357 0.74147
"55" 0.66627 0.75496 0.76012 0.80503 0.55783 0.74895
"56" 0.66563 0.76401 0.775 0.80703 0.56325 0.74415
"57" 0.67861 0.77699 0.79176 0.81843 0.57909 0.77229
"58" 0.66232 0.7734 0.78266 0.82645 0.56822 0.77605
"59" 0.64989 0.74877 0.75352 0.79891 0.55688 0.74936
"60" 0.66092 0.77472 0.78539 0.80563 0.57909 0.76031
"61" 0.67839 0.77386 0.78102 0.84308 0.5802 0.75455
"62" 0.67344 0.75266 0.75819 0.79577 0.56872 0.75762
"63" 0.66027 0.76635 0.77576 0.81314 0.56681 0.73807
"64" 0.66955 0.77855 0.78722 0.83589 0.57731 0.77211
"65" 0.67777 0.78155 0.79519 0.81783 0.57555 0.75992
"66" 0.65506 0.75054 0.75618 0.81962 0.56072 0.74706
"67" 0.68825 0.77979 0.79355 0.81947 0.56768 0.77679
"68" 0.6715 0.77556 0.78611 0.82666 0.58169 0.75706
"69" 0.6756 0.77658 0.78495 0.82098 0.57686 0.74655
"70" 0.65709 0.74978 0.75847 0.79568 0.55435 0.71925
"71" 0.6673 0.77698 0.79026 0.81276 0.57493 0.75654
"72" 0.69071 0.76798 0.77533 0.81542 0.56935 0.75974
"73" 0.70962 0.76855 0.77383 0.81072 0.56899 0.76012
"74" 0.65475 0.77002 0.78373 0.81064 0.55206 0.73306
"75" 0.68592 0.77689 0.78501 0.82525 0.58676 0.79377
