"ga.eprr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.39841 0.43337 0.44016 0.4466 0.36679 0.41164
"2" 0.42444 0.43747 0.43885 0.47555 0.41939 0.48768
"3" 0.38612 0.43766 0.44515 0.50424 0.37801 0.45772
"4" 0.39927 0.47078 0.47362 0.48352 0.36425 0.49135
"5" 0.37894 0.42836 0.43667 0.43582 0.33995 0.35859
"6" 0.38681 0.46055 0.4662 0.44086 0.34652 0.48453
"7" 0.44411 0.42501 0.43657 0.47397 0.40105 0.49992
"8" 0.39086 0.43298 0.44413 0.48923 0.38597 0.45408
"9" 0.34499 0.37539 0.37635 0.39425 0.35004 0.4261
"10" 0.38939 0.39288 0.38895 0.39357 0.34496 0.42799
"11" 0.37883 0.42238 0.43908 0.40917 0.35335 0.42301
"12" 0.39774 0.39967 0.40166 0.46023 0.34513 0.41494
"13" 0.33954 0.41759 0.42447 0.45898 0.3148 0.45388
"14" 0.38884 0.41984 0.41555 0.44273 0.37268 0.47033
"15" 0.33965 0.41202 0.42689 0.44571 0.35562 0.46419
"16" 0.37141 0.41538 0.43355 0.45977 0.35931 0.42509
"17" 0.37005 0.42386 0.42446 0.43127 0.34609 0.38546
"18" 0.37241 0.43992 0.4462 0.43286 0.35572 0.4523
"19" 0.34754 0.39989 0.39773 0.39557 0.32251 0.41992
"20" 0.37294 0.40446 0.42037 0.44595 0.37578 0.37592
"21" 0.3514 0.40109 0.39129 0.42385 0.33358 0.40563
"22" 0.3758 0.40081 0.40916 0.48193 0.3624 0.45153
"23" 0.35871 0.40097 0.40651 0.35691 0.32539 0.38629
"24" 0.39022 0.43473 0.43715 0.46292 0.35649 0.41416
"25" 0.39121 0.39914 0.40098 0.46999 0.388 0.48269
"26" 0.35342 0.39155 0.37253 0.42513 0.30023 0.36136
"27" 0.39088 0.44365 0.4609 0.44171 0.38495 0.43349
"28" 0.36567 0.42364 0.43176 0.3837 0.34204 0.3882
"29" 0.41997 0.47877 0.50393 0.47308 0.42402 0.47974
"30" 0.38673 0.42461 0.44017 0.39098 0.34618 0.41688
"31" 0.35736 0.41346 0.41061 0.39793 0.31836 0.38508
"32" 0.3849 0.39786 0.40542 0.4442 0.37803 0.45036
"33" 0.36635 0.42537 0.4207 0.44318 0.35035 0.3865
"34" 0.4558 0.48367 0.52426 0.44868 0.40442 0.42831
"35" 0.45189 0.51051 0.55227 0.48279 0.46027 0.53202
"36" 0.40312 0.4969 0.51858 0.43545 0.39829 0.46909
"37" 0.36257 0.43603 0.43347 0.44882 0.36117 0.44153
"38" 0.33298 0.41646 0.42352 0.39231 0.31184 0.41191
"39" 0.53994 0.43388 0.41305 0.44455 0.3994 0.48879
"40" 0.37428 0.44953 0.46976 0.49095 0.35764 0.46727
"41" 0.37033 0.41208 0.40661 0.45226 0.39363 0.43934
"42" 0.34831 0.41415 0.42928 0.4134 0.36796 0.418
"43" 0.40083 0.4655 0.49019 0.53235 0.41313 0.45675
"44" 0.3878 0.40391 0.40063 0.43454 0.37231 0.41836
"45" 0.41359 0.42048 0.43625 0.48208 0.40084 0.46754
"46" 0.35857 0.43218 0.44625 0.45319 0.36846 0.43127
"47" 0.37019 0.3843 0.37204 0.40187 0.33395 0.43646
"48" 0.39984 0.40928 0.41975 0.46078 0.38393 0.45084
"49" 0.37681 0.41777 0.42614 0.47447 0.38031 0.46343
"50" 0.36358 0.43837 0.41917 0.37863 0.32057 0.40742
"51" 0.44648 0.47574 0.49446 0.50005 0.44662 0.5052
"52" 0.40337 0.42387 0.42342 0.42367 0.34862 0.38483
"53" 0.32795 0.396 0.40126 0.37563 0.31626 0.35776
"54" 0.46233 0.46499 0.47053 0.4952 0.42823 0.45762
"55" 0.38164 0.44939 0.46235 0.46792 0.38501 0.41719
"56" 0.40023 0.44287 0.45136 0.43547 0.33461 0.41336
"57" 0.35408 0.41637 0.42563 0.4752 0.36399 0.46053
"58" 0.41108 0.44955 0.46349 0.47622 0.38307 0.45407
"59" 0.33176 0.43265 0.43472 0.4521 0.32945 0.40901
"60" 0.40084 0.46992 0.50148 0.46728 0.39866 0.46919
"61" 0.34416 0.39579 0.37433 0.38939 0.30056 0.39412
"62" 0.37577 0.47585 0.48754 0.49928 0.39158 0.49642
"63" 0.37326 0.43991 0.42896 0.40701 0.3341 0.42686
"64" 0.42632 0.45864 0.45602 0.49071 0.41795 0.48761
"65" 0.36106 0.40671 0.39073 0.42467 0.34797 0.3992
"66" 0.45448 0.49372 0.52917 0.50145 0.44127 0.49903
"67" 0.35937 0.4253 0.41125 0.41459 0.33395 0.3787
"68" 0.36341 0.43118 0.43577 0.49028 0.34639 0.4566
"69" 0.34358 0.40929 0.40583 0.46976 0.33657 0.36887
"70" 0.41969 0.47841 0.50382 0.50645 0.41944 0.50683
"71" 0.40703 0.47583 0.47668 0.39856 0.33917 0.39219
"72" 0.43071 0.46441 0.46598 0.48876 0.38114 0.47063
"73" 0.41432 0.47462 0.50504 0.43095 0.40164 0.41182
"74" 0.43025 0.45549 0.46368 0.52063 0.43688 0.50971
"75" 0.38733 0.4504 0.44519 0.42458 0.345 0.39156
