"error" "lambda"
"1" 2.85049118712228 "0.7"
"2" 2.50343147057622 "0.7"
"3" 2.8981707404024 "0.7"
"4" 2.76055129003187 "0.7"
"5" 3.08953993659471 "0.7"
"6" 2.78458424690344 "0.7"
"7" 2.33172490616503 "0.7"
"8" 3.02461865991904 "0.7"
"9" 2.27158774922506 "0.7"
"10" 2.78782885264983 "0.7"
"11" 2.73435329337648 "0.75"
"12" 2.59550444474457 "0.75"
"13" 2.96283867653954 "0.75"
"14" 2.78547883637235 "0.75"
"15" 2.62950035215148 "0.75"
"16" 2.65375574309882 "0.75"
"17" 2.41677185311587 "0.75"
"18" 2.93896129292321 "0.75"
"19" 2.51639283329099 "0.75"
"20" 3.1540388531536 "0.75"
"21" 2.50493423384441 "0.8"
"22" 2.59922027462023 "0.8"
"23" 2.47064048167376 "0.8"
"24" 2.88041559592307 "0.8"
"25" 2.40728026048887 "0.8"
"26" 3.06547595721453 "0.8"
"27" 2.79331701040439 "0.8"
"28" 2.71410389049245 "0.8"
"29" 2.61447958788466 "0.8"
"30" 2.68397865143463 "0.8"
"31" 2.75283073702992 "0.85"
"32" 2.62773188169407 "0.85"
"33" 2.33944163112673 "0.85"
"34" 2.8492758445928 "0.85"
"35" 2.54864675628659 "0.85"
"36" 3.13539074213785 "0.85"
"37" 3.26844979215213 "0.85"
"38" 2.89224531085538 "0.85"
"39" 2.57661497202623 "0.85"
"40" 2.85287006239428 "0.85"
"41" 2.77444583221355 "0.9"
"42" 2.96263689353207 "0.9"
"43" 2.59541948462117 "0.9"
"44" 2.84014393596943 "0.9"
"45" 2.92001495501853 "0.9"
"46" 2.7471911142495 "0.9"
"47" 2.56774677925299 "0.9"
"48" 2.53482407255619 "0.9"
"49" 3.0188270720008 "0.9"
"50" 2.44650688504755 "0.9"
"51" 2.91054294105659 "0.95"
"52" 2.49192157685457 "0.95"
"53" 2.77405150833957 "0.95"
"54" 2.72525199052067 "0.95"
"55" 2.24571246366768 "0.95"
"56" 2.70820480589699 "0.95"
"57" 2.58309507907552 "0.95"
"58" 3.09849566034657 "0.95"
"59" 2.46508919590084 "0.95"
"60" 3.01217952822135 "0.95"
"61" 2.32157757610704 "1"
"62" 2.79928217672919 "1"
"63" 3.19609734135243 "1"
"64" 2.83543409593089 "1"
"65" 2.73720052067386 "1"
"66" 3.07045994826917 "1"
"67" 2.86545435992267 "1"
"68" 2.72597546004591 "1"
"69" 2.26512605714126 "1"
"70" 2.86048655402314 "1"
"71" 3.3822460425271 "1.05"
"72" 3.5148632732269 "1.05"
"73" 3.30154667219903 "1.05"
"74" 2.86865383485579 "1.05"
"75" 2.77951046706958 "1.05"
"76" 2.86368147243774 "1.05"
"77" 4.2318329794926 "1.05"
"78" 2.80559902830012 "1.05"
"79" 4.31273712164723 "1.05"
"80" 3.03954012941119 "1.05"
"81" 3.52539011140718 "1.1"
"82" 2.9477118799644 "1.1"
"83" 3.35897483415614 "1.1"
"84" 2.77983165136893 "1.1"
"85" 2.98018442137281 "1.1"
"86" 2.69478616746007 "1.1"
"87" 3.10798631034103 "1.1"
"88" 3.1784912986768 "1.1"
"89" 2.776324738241 "1.1"
"90" 3.39382497152643 "1.1"
"91" 3.1493304716883 "1.15"
"92" 3.44115956883057 "1.15"
"93" 3.21888001572379 "1.15"
"94" 4.21920249651923 "1.15"
"95" 3.19317079080973 "1.15"
"96" 3.19661211405046 "1.15"
"97" 3.37416956387794 "1.15"
"98" 4.25201532573155 "1.15"
"99" 3.08623613809725 "1.15"
"100" 3.0053708332407 "1.15"
"101" 4.54341111143304 "1.2"
"102" 2.67996016966754 "1.2"
"103" 3.79129223051338 "1.2"
"104" 3.34200171379752 "1.2"
"105" 3.40704354486577 "1.2"
"106" 3.85756995745783 "1.2"
"107" 3.18944399027506 "1.2"
"108" 3.54468201839368 "1.2"
"109" 3.05573797857924 "1.2"
"110" 3.03439181842328 "1.2"
"111" 3.15912191037311 "1.25"
"112" 4.68375557651758 "1.25"
"113" 4.16792230125199 "1.25"
"114" 3.42016176459785 "1.25"
"115" 4.26525110064712 "1.25"
"116" 4.63161032706962 "1.25"
"117" 3.19219075212991 "1.25"
"118" 4.11351542014403 "1.25"
"119" 3.08397334077959 "1.25"
"120" 3.66853464882135 "1.25"
"121" 4.53586472305117 "1.3"
"122" 4.64496598460907 "1.3"
"123" 3.92937881125446 "1.3"
"124" 3.83999223826648 "1.3"
"125" 4.22571027460276 "1.3"
"126" 4.80025858245081 "1.3"
"127" 4.21152097329179 "1.3"
"128" 4.41308121399668 "1.3"
"129" 4.45416670646466 "1.3"
"130" 4.24200732590304 "1.3"
