"ga.eprr.0.8" "ga.eprr.0.9" "ga.epr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1"  0.66987 0.66843 0.68185 0.69427 0.71128 0.77953 0.67450 0.73157
"2"  0.63192 0.66355 0.65615 0.69150 0.70861 0.74587 0.65681 0.70382
"3"  0.66936 0.68841 0.68815 0.69368 0.70118 0.76113 0.67579 0.72600
"4"  0.67890 0.62884 0.67946 0.69659 0.71079 0.76451 0.69028 0.73805
"5"  0.66045 0.65406 0.71893 0.69916 0.70832 0.75506 0.66837 0.69509
"6"  0.68250 0.64973 0.72236 0.72143 0.73866 0.78755 0.70387 0.75874
"7"  0.65201 0.69001 0.70646 0.67973 0.68988 0.76331 0.67524 0.71860
"8"  0.65469 0.65876 0.67786 0.68775 0.70315 0.75769 0.67685 0.72737
"9"  0.66129 0.66336 0.70438 0.71787 0.72177 0.74553 0.67431 0.72377
"10" 0.66093 0.67463 0.67549 0.70652 0.72489 0.77287 0.69804 0.74637
"11" 0.65391 0.64746 0.68075 0.70924 0.70427 0.72006 0.64690 0.68291
"12" 0.66195 0.65492 0.69102 0.69436 0.71876 0.78234 0.68149 0.74151
"13" 0.63969 0.67584 0.63887 0.67098 0.69355 0.74209 0.67190 0.71046
"14" 0.64743 0.67155 0.68162 0.69886 0.69372 0.75143 0.64943 0.69980
"15" 0.61731 0.67195 0.66387 0.65396 0.67360 0.71375 0.64299 0.68410
"16" 0.64452 0.67728 0.67432 0.68746 0.69130 0.73244 0.66598 0.69090
"17" 0.65521 0.65982 0.72985 0.69366 0.69762 0.75491 0.68140 0.71400
"18" 0.65095 0.61430 0.67726 0.69626 0.71106 0.77437 0.67250 0.71802
"19" 0.64654 0.63580 0.67763 0.68453 0.70453 0.75789 0.67525 0.72245
"20" 0.64399 0.67307 0.74372 0.68324 0.68933 0.73768 0.65900 0.68977
"21" 0.65356 0.69856 0.71879 0.67991 0.69743 0.76133 0.68051 0.71346
"22" 0.65224 0.64340 0.68986 0.68737 0.69594 0.75058 0.66857 0.71794
"23" 0.65352 0.64570 0.67980 0.69107 0.71202 0.75388 0.67170 0.71059
"24" 0.65099 0.64790 0.68429 0.68625 0.70512 0.75225 0.68116 0.70872
"25" 0.66340 0.67142 0.69143 0.69634 0.70501 0.75888 0.68809 0.72896
"26" 0.63721 0.64853 0.66262 0.69147 0.69706 0.73853 0.65791 0.70908
"27" 0.66408 0.66989 0.64606 0.69877 0.71515 0.77493 0.67539 0.73452
"28" 0.65964 0.67596 0.69569 0.69284 0.70355 0.75932 0.65620 0.71874
"29" 0.66883 0.65671 0.65844 0.69831 0.71339 0.73491 0.66946 0.71562
"30" 0.66582 0.65973 0.64210 0.69867 0.71119 0.75045 0.67699 0.71443
"31" 0.63145 0.68284 0.65490 0.64832 0.65527 0.72721 0.63243 0.69259
"32" 0.61620 0.66462 0.65393 0.63607 0.63920 0.71096 0.62368 0.66107
"33" 0.67405 0.64555 0.66836 0.69305 0.71349 0.77492 0.68330 0.71328
"34" 0.66377 0.68552 0.68899 0.71160 0.72194 0.76287 0.66267 0.72840
"35" 0.65626 0.67507 0.62922 0.73523 0.73914 0.74447 0.65974 0.70705
"36" 0.63980 0.65040 0.64549 0.66893 0.67931 0.75597 0.65643 0.70436
"37" 0.65850 0.64911 0.65653 0.70762 0.71198 0.74711 0.66636 0.70469
"38" 0.66227 0.64737 0.66270 0.72714 0.74295 0.78226 0.68263 0.72694
"39" 0.63655 0.64609 0.65248 0.67305 0.69177 0.72638 0.65941 0.69145
"40" 0.63209 0.64656 0.66297 0.65658 0.65340 0.72035 0.64394 0.68943
"41" 0.66817 0.65247 0.63001 0.70976 0.72776 0.78309 0.69704 0.71966
"42" 0.66090 0.63072 0.67643 0.69380 0.71550 0.78148 0.69850 0.73302
"43" 0.65691 0.65420 0.67335 0.70789 0.72842 0.75890 0.66251 0.70667
"44" 0.66020 0.66213 0.66833 0.68828 0.69719 0.75784 0.67916 0.70860
"45" 0.66235 0.67360 0.67919 0.71576 0.73163 0.74963 0.67538 0.71208
"46" 0.66172 0.66661 0.65763 0.70034 0.71672 0.75523 0.69314 0.72879
"47" 0.64032 0.66923 0.66571 0.70373 0.71970 0.74518 0.66142 0.70959
"48" 0.62808 0.60838 0.69729 0.66673 0.67171 0.71738 0.64367 0.68023
"49" 0.65980 0.63973 0.65168 0.72134 0.72313 0.76135 0.68146 0.71744
"50" 0.65137 0.61765 0.61315 0.67812 0.68907 0.75609 0.67267 0.70608
"51" 0.64991 0.66384 0.64957 0.69026 0.71103 0.75999 0.66495 0.71080
"52" 0.61674 0.65901 0.66516 0.64919 0.65196 0.71480 0.62790 0.67825
"53" 0.64128 0.64116 0.67410 0.70088 0.69677 0.73526 0.64104 0.70522
"54" 0.66929 0.66883 0.65286 0.68638 0.70066 0.76474 0.67026 0.72674
"55" 0.66103 0.63834 0.65659 0.71967 0.73139 0.75140 0.67039 0.71853
"56" 0.68760 0.65928 0.63296 0.72380 0.74153 0.78430 0.69878 0.74644
"57" 0.67470 0.65627 0.62364 0.70265 0.71434 0.75722 0.69243 0.71731
"58" 0.66292 0.65034 0.66708 0.72460 0.72960 0.75420 0.68655 0.72244
"59" 0.63410 0.66963 0.65096 0.66545 0.68861 0.72597 0.64578 0.70245
"60" 0.64037 0.65738 0.65537 0.71872 0.72135 0.75503 0.68670 0.73135
"61" 0.68043 0.65166 0.80548 0.69386 0.71324 0.75313 0.68858 0.72811
"62" 0.63628 0.67753 0.66553 0.66284 0.67450 0.73770 0.65352 0.69474
"63" 0.65456 0.65268 0.65814 0.68540 0.69172 0.75025 0.67312 0.72119
"64" 0.68936 0.64823 0.66576 0.73329 0.74145 0.77329 0.68985 0.72675
"65" 0.65725 0.65941 0.68161 0.72043 0.73660 0.76769 0.67541 0.72041
"66" 0.63758 0.63619 0.75647 0.65987 0.67677 0.73718 0.63855 0.67410
"67" 0.67894 0.65462 0.65826 0.71131 0.72476 0.77258 0.69205 0.73379
"68" 0.62244 0.66210 0.63675 0.65886 0.67046 0.71562 0.63162 0.67359
"69" 0.66472 0.65645 0.66557 0.71394 0.72386 0.75239 0.67811 0.71190
"70" 0.68310 0.65560 0.67408 0.71528 0.72153 0.77146 0.70084 0.72677
"71" 0.63004 0.64446 0.66057 0.66303 0.67414 0.74252 0.64109 0.69222
"72" 0.63423 0.68024 0.63319 0.66940 0.68303 0.71466 0.65404 0.69725
"73" 0.64666 0.65323 0.64398 0.68026 0.69072 0.75693 0.66927 0.72579
"74" 0.66107 0.68357 0.65446 0.68028 0.69144 0.75683 0.66497 0.72555
"75" 0.68176 0.67193 0.65063 0.69887 0.70339 0.74351 0.67405 0.69633
