"ga.eprr.0.7" "ga.eprr.0.8" "ga.eprr.0.9" "ga.epr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.33835 0.37513 0.33712 0.37978 0.39807 0.39786 0.42584 0.34876 0.41680
"2" 0.40532 0.42215 0.40205 0.38883 0.47455 0.48504 0.42227 0.39448 0.43874
"3" 0.40831 0.42977 0.36951 0.37804 0.43330 0.44319 0.39172 0.34731 0.40003
"4" 0.40891 0.31882 0.34529 0.31785 0.41431 0.40303 0.43621 0.34316 0.42271
"5" 0.43151 0.40705 0.42269 0.37848 0.45744 0.46372 0.49363 0.41775 0.48362
"6" 0.34744 0.32661 0.34448 0.39279 0.40765 0.42428 0.45943 0.30392 0.44297
"7" 0.40453 0.36409 0.39714 0.41677 0.42685 0.43546 0.47550 0.37654 0.44524
"8" 0.33495 0.36240 0.43775 0.34755 0.43195 0.43557 0.46725 0.41254 0.46830
"9" 0.38961 0.39602 0.40813 0.40088 0.42438 0.42172 0.48330 0.40297 0.47541
"10" 0.36001 0.36175 0.37955 0.35684 0.40967 0.43038 0.45635 0.39968 0.46178
"11" 0.40987 0.58732 0.39351 0.44083 0.44886 0.43978 0.50433 0.39163 0.44466
"12" 0.39398 0.41040 0.37823 0.39296 0.43827 0.43404 0.44180 0.37620 0.42281
"13" 0.36783 0.38752 0.66015 0.38715 0.45228 0.46475 0.49037 0.37440 0.46794
"14" 0.38878 0.37568 0.37727 0.34405 0.40232 0.37691 0.42426 0.39008 0.44188
"15" 0.43882 0.44303 0.40429 0.39156 0.42727 0.45230 0.48939 0.41320 0.46976
"16" 0.33361 0.40266 0.41751 0.35348 0.46919 0.48924 0.53713 0.41062 0.50581
"17" 0.39852 0.42335 0.35250 0.44505 0.43001 0.43181 0.39676 0.33121 0.38147
"18" 0.38275 0.38669 0.41453 0.35244 0.44138 0.46118 0.45773 0.37733 0.44278
"19" 0.36414 0.43260 0.62414 0.39253 0.39647 0.40886 0.42856 0.33795 0.44516
"20" 0.34258 0.36066 0.38924 0.34848 0.46135 0.48714 0.46239 0.37031 0.43822
"21" 0.40177 0.41432 0.35672 0.37572 0.43364 0.44707 0.45584 0.36603 0.46435
"22" 0.3602  0.43868 0.38042 0.38954 0.40564 0.42119 0.48168 0.39562 0.49271
"23" 0.37812 0.39345 0.39352 0.37741 0.40744 0.43698 0.51057 0.41693 0.47192
"24" 0.36362 0.41226 0.31154 0.38559 0.40424 0.41199 0.42952 0.33106 0.37118
"25" 0.3801  0.33841 0.39287 0.40405 0.48634 0.52945 0.50589 0.38321 0.47426
"26" 0.39199 0.37513 0.35356 0.41469 0.40147 0.39429 0.38865 0.32185 0.38467
"27" 0.37426 0.41456 0.38499 0.68040 0.39471 0.41716 0.40399 0.30555 0.40145
"28" 0.35761 0.37026 0.40898 0.49019 0.39249 0.39117 0.45094 0.33013 0.39265
"29" 0.36623 0.35554 0.39549 0.37797 0.43114 0.43003 0.53820 0.39867 0.48421
"30" 0.38242 0.36795 0.45836 0.37894 0.39514 0.39783 0.42137 0.30010 0.39341
"31" 0.3992  0.37788 0.76625 0.47113 0.41649 0.41495 0.41856 0.37025 0.43529
"32" 0.70134 0.47731 0.37917 0.41406 0.42971 0.42370 0.48450 0.33816 0.43541
"33" 0.31993 0.36309 0.37344 0.45845 0.41581 0.40787 0.39348 0.32092 0.39571
