"ga.eprr.0.7" "ga.eprr.0.8" "ga.eprr.0.9" "ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1"  0.43658 0.42613 0.38722 0.37978 0.50093 0.41187 0.52342 0.50631
"2"  0.35744 0.36421 0.34325 0.38883 0.42254 0.35541 0.44037 0.38921
"3"  0.40200 0.39415 0.32771 0.37804 0.45738 0.38872 0.47674 0.45444
"4"  0.34591 0.36106 0.40712 0.31785 0.41864 0.31793 0.42279 0.45362
"5"  0.39875 0.33255 0.33157 0.37848 0.49245 0.41247 0.50783 0.4853
"6"  0.41874 0.42580 0.41832 0.39279 0.47398 0.41398 0.50264 0.46749
"7"  0.38576 0.39623 0.32741 0.41677 0.40622 0.35929 0.44660 0.45164
"8"  0.31917 0.36514 0.34825 0.34755 0.42004 0.34964 0.45255 0.4258
"9"  0.35791 0.41010 0.33382 0.40088 0.39505 0.35779 0.51572 0.45524
"10" 0.34119 0.34609 0.41146 0.35684 0.40179 0.32605 0.44331 0.43274
"11" 0.32804 0.41553 0.40173 0.44083 0.40981 0.30486 0.40949 0.37901
"12" 0.35941 0.35040 0.44946 0.39296 0.40615 0.35343 0.43700 0.39058
"13" 0.38392 0.43520 0.32516 0.38715 0.45688 0.40952 0.50806 0.48422
"14" 0.34004 0.32716 0.45392 0.34405 0.43911 0.33990 0.44692 0.42206
"15" 0.35855 0.29662 0.34591 0.39156 0.42554 0.34230 0.42987 0.4489
"16" 0.38800 0.44431 0.34997 0.35348 0.48972 0.40762 0.46942 0.45364
"17" 0.37879 0.34804 0.30274 0.44505 0.44286 0.35573 0.42918 0.46485
"18" 0.33480 0.38110 0.34320 0.35244 0.40598 0.30668 0.39421 0.37635
"19" 0.40669 0.35560 0.52457 0.39253 0.44796 0.39188 0.51211 0.465
"20" 0.41692 0.39284 0.42417 0.34848 0.50380 0.42869 0.54142 0.54849
"21" 0.38244 0.36393 0.36854 0.37572 0.44017 0.36560 0.51853 0.43686
"22" 0.36808 0.34166 0.36940 0.38954 0.46284 0.38931 0.50738 0.49077
"23" 0.37198 0.33223 0.39060 0.37741 0.42025 0.37613 0.46589 0.4802
"24" 0.34769 0.33206 0.35423 0.38559 0.39027 0.32063 0.43423 0.46074
"25" 0.40579 0.30316 0.41805 0.40405 0.41484 0.34577 0.43343 0.44487
"26" 0.32511 0.37191 0.38724 0.41469 0.39118 0.29404 0.40053 0.38182
"27" 0.37930 0.35138 0.39448 0.68040 0.45255 0.35511 0.47600 0.45855
"28" 0.41826 0.40992 0.33691 0.49019 0.44598 0.39812 0.53836 0.47971
"29" 0.31963 0.38249 0.37560 0.37797 0.40167 0.32147 0.44944 0.43446
"30" 0.38677 0.40040 0.36596 0.37894 0.44551 0.37016 0.46213 0.50444
"31" 0.31345 0.36424 0.41578 0.47113 0.41972 0.32264 0.44229 0.41325
"32" 0.44526 0.37507 0.41931 0.41406 0.44287 0.36274 0.47562 0.41696
"33" 0.43496 0.42506 0.32982 0.45845 0.51536 0.42102 0.52550 0.51128
"34" 0.39436 0.38510 0.34793 0.40734 0.42030 0.36303 0.54015 0.47115
"35" 0.34743 0.37109 0.39248 0.38272 0.38225 0.32937 0.46748 0.43259
"36" 0.35468 0.33708 0.37476 0.39430 0.37873 0.31272 0.42485 0.38362
"37" 0.29029 0.32491 0.33838 0.44333 0.40567 0.29337 0.43718 0.37385
"38" 0.36249 0.33496 0.40063 0.36236 0.44717 0.36613 0.42004 0.42945
"39" 0.35278 0.36730 0.35014 0.40750 0.44340 0.34617 0.43042 0.41335
"40" 0.33695 0.41212 0.34305 0.40072 0.44820 0.36320 0.44135 0.45245
"41" 0.36423 0.49635 0.38810 0.47807 0.41028 0.33070 0.44956 0.42576
"42" 0.29443 0.38854 0.38096 0.37450 0.42864 0.31332 0.36646 0.40401
"43" 0.35047 0.31376 0.35413 0.41119 0.46390 0.36240 0.54043 0.51263
"44" 0.46864 0.33716 0.38561 0.31962 0.41133 0.34104 0.41791 0.40396
"45" 0.36771 0.34486 0.39627 0.37529 0.44267 0.37998 0.50064 0.46188
"46" 0.36845 0.34836 0.36874 0.39742 0.43264 0.32647 0.42225 0.42466
"47" 0.35826 0.36583 0.59742 0.38446 0.42213 0.37756 0.44254 0.46687
"48" 0.33593 0.39930 0.34091 0.39671 0.43892 0.31338 0.42552 0.40489
"49" 0.36761 0.39537 0.35349 0.54007 0.43871 0.37715 0.46359 0.46688
"50" 0.38800 0.40120 0.33483 0.39380 0.42402 0.34284 0.50050 0.49458
"51" 0.30845 0.36386 0.35075 0.38420 0.38548 0.30619 0.39553 0.38206
"52" 0.34276 0.44101 0.39279 0.41838 0.41005 0.32913 0.46127 0.42616
"53" 0.37309 0.33901 0.37035 0.35558 0.43016 0.31783 0.41884 0.44709
"54" 0.37690 0.41627 0.42096 0.71379 0.43275 0.35466 0.46280 0.42106
"55" 0.41358 0.47680 0.44832 0.38829 0.40292 0.31707 0.43335 0.41847
"56" 0.39021 0.40248 0.36936 0.73299 0.47093 0.38191 0.45609 0.4458
"57" 0.36675 0.42206 0.43580 0.38708 0.40481 0.35688 0.47105 0.41929
"58" 0.35921 0.32509 0.37346 0.35447 0.40881 0.28243 0.39838 0.3746
