"error" "lambda"
"1" 0.65619 "0.7"
"2" 0.65946 "0.7"
"3" 0.65565 "0.7"
"4" 0.67133 "0.7"
"5" 0.64930 "0.7"
"6" 0.68386 "0.7"
"7" 0.66025 "0.7"
"8" 0.66660 "0.7"
"9" 0.67509 "0.7"
"10" 0.64480 "0.7"
"11" 0.65555 "0.7"
"12" 0.63632 "0.7"
"13" 0.65162 "0.7"
"14" 0.67459 "0.7"
"15" 0.66397 "0.7"
"16" 0.64518 "0.7"
"17" 0.60384 "0.7"
"18" 0.66568 "0.7"
"19" 0.65685 "0.7"
"20" 0.67198 "0.7"
"21" 0.66164 "0.7"
"22" 0.62966 "0.7"
"23" 0.65474 "0.7"
"24" 0.64914 "0.7"
"25" 0.66508 "0.7"
"26" 0.63090 "0.7"
"27" 0.64681 "0.7"
"28" 0.64474 "0.7"
"29" 0.62688 "0.7"
"30" 0.64951 "0.7"
"31" 0.65487 "0.7"
"32" 0.67316 "0.7"
"33" 0.64433 "0.7"
"34" 0.65300 "0.7"
"35" 0.69276 "0.7"
"36" 0.63079 "0.7"
"37" 0.64719 "0.7"
"38" 0.66676 "0.7"
"39" 0.67653 "0.7"
"40" 0.66389 "0.7"
"41" 0.64552 "0.7"
"42" 0.65406 "0.7"
"43" 0.63834 "0.7"
"44" 0.63621 "0.7"
"45" 0.64070 "0.7"
"46" 0.65622 "0.7"
"47" 0.66847 "0.7"
"48" 0.68118 "0.7"
"49" 0.66451 "0.7"
"50" 0.68441 "0.7"
"51" 0.65704 "0.7"
"52" 0.64097 "0.7"
"53" 0.68004 "0.7"
"54" 0.64435 "0.7"
"55" 0.66813 "0.7"
"56" 0.63248 "0.7"
"57" 0.64304 "0.7"
"58" 0.63653 "0.7"
"59" 0.65278 "0.7"
"60" 0.66094 "0.7"
"61" 0.66422 "0.7"
"62" 0.65475 "0.7"
"63" 0.66424 "0.7"
"64" 0.62345 "0.7"
"65" 0.68668 "0.7"
"66" 0.65894 "0.7"
"67" 0.67185 "0.7"
"68" 0.65356 "0.7"
"69" 0.67672 "0.7"
"70" 0.64878 "0.7"
"71" 0.68394 "0.7"
"72" 0.61699 "0.7"
"73" 0.64329 "0.7"
"74" 0.64286 "0.7"
"75" 0.64291 "0.7"
"76" 0.64730 "0.8"
"77" 0.66893 "0.8"
"78" 0.65757 "0.8"
"79" 0.70965 "0.8"
"80" 0.64200 "0.8"
"81" 0.65456 "0.8"
"82" 0.63325 "0.8"
"83" 0.62273 "0.8"
"84" 0.64270 "0.8"
"85" 0.69599 "0.8"
"86" 0.66385 "0.8"
"87" 0.67037 "0.8"
"88" 0.66871 "0.8"
"89" 0.62204 "0.8"
"90" 0.64075 "0.8"
"91" 0.65157 "0.8"
"92" 0.66894 "0.8"
"93" 0.66113 "0.8"
"94" 0.67287 "0.8"
"95" 0.64627 "0.8"
"96" 0.62195 "0.8"
"97" 0.65068 "0.8"
"98" 0.65442 "0.8"
"99" 0.64940 "0.8"
