"ga.eprr.0.7" "ga.eprr.0.8" "ga.eprr.0.9" "ga.eprr" "lin.reg" "svm" "rpart" "ci.tree"
"1"  0.64038 0.65294 0.66478 0.67677 0.75790 0.31077 0.80119 0.73954
"2"  0.66147 0.65867 0.66810 0.66264 0.76000 0.32424 0.82041 0.76523
"3"  0.65789 0.66089 0.65548 0.67017 0.76357 0.31522 0.81766 0.75092
"4"  0.66786 0.65227 0.67353 0.67785 0.77401 0.32294 0.81281 0.7585
"5"  0.64986 0.65767 0.65902 0.66419 0.74978 0.33230 0.79168 0.73953
"6"  0.66720 0.67260 0.66125 0.66320 0.77384 0.32860 0.80941 0.76511
"7"  0.67250 0.66839 0.66288 0.66663 0.76933 0.32467 0.82000 0.74859
"8"  0.67245 0.65882 0.65443 0.67691 0.77165 0.31999 0.81067 0.75814
"9"  0.67187 0.66349 0.64447 0.67032 0.76270 0.32543 0.81726 0.76223
"10" 0.66756 0.66902 0.65631 0.66726 0.76598 0.32654 0.82108 0.75393
"11" 0.65777 0.66067 0.67824 0.67568 0.76822 0.30971 0.81878 0.75722
"12" 0.67164 0.66322 0.65471 0.66086 0.77848 0.32385 0.82418 0.7722
"13" 0.65716 0.65445 0.67073 0.66569 0.75009 0.32247 0.81120 0.73266
"14" 0.67597 0.64818 0.66475 0.66973 0.76887 0.33532 0.83517 0.7534
"15" 0.67478 0.67800 0.64545 0.66352 0.77830 0.32145 0.81756 0.75765
"16" 0.67547 0.65402 0.66351 0.66621 0.77204 0.32449 0.81309 0.74604
"17" 0.67284 0.65028 0.66659 0.66662 0.76854 0.31678 0.82233 0.77267
"18" 0.67224 0.66265 0.66098 0.65593 0.77262 0.33898 0.82885 0.78058
"19" 0.67325 0.65195 0.67822 0.68694 0.77224 0.32473 0.81928 0.74504
"20" 0.67238 0.67094 0.65785 0.67225 0.78031 0.31866 0.82101 0.75534
"21" 0.66544 0.66446 0.65594 0.66324 0.76320 0.32817 0.83275 0.74495
"22" 0.66984 0.65026 0.67260 0.66841 0.77419 0.33005 0.83372 0.76838
"23" 0.66308 0.67964 0.66093 0.67615 0.77208 0.33323 0.82881 0.75934
"24" 0.65519 0.66632 0.66354 0.67603 0.75987 0.31424 0.80338 0.73361
"25" 0.66063 0.66111 0.65086 0.67102 0.76142 0.32352 0.80477 0.76629
"26" 0.65960 0.66726 0.67018 0.66774 0.77180 0.32222 0.83871 0.75781
"27" 0.66044 0.66313 0.65941 0.66482 0.77209 0.33285 0.80953 0.73879
"28" 0.66067 0.65846 0.66004 0.66182 0.77688 0.31336 0.82559 0.77676
"29" 0.64646 0.65695 0.65732 0.71531 0.74873 0.31681 0.80981 0.73253
"30" 0.65019 0.64832 0.65098 0.65901 0.76662 0.32529 0.82900 0.76683
"31" 0.66501 0.66951 0.67166 0.66666 0.76949 0.32533 0.83910 0.74327
"32" 0.64544 0.66037 0.64246 0.65930 0.76284 0.31893 0.82074 0.75155
"33" 0.68293 0.67476 0.65886 0.67726 0.78474 0.33089 0.85118 0.76148
"34" 0.65921 0.66387 0.64538 0.66277 0.77894 0.32610 0.81941 0.77228
"35" 0.65985 0.65267 0.66852 0.69592 0.76027 0.31963 0.81307 0.73996
"36" 0.65039 0.65762 0.65998 0.67989 0.75430 0.32687 0.81454 0.75276
"37" 0.65741 0.65617 0.65776 0.66738 0.76578 0.32146 0.82926 0.75755
"38" 0.66399 0.65782 0.65688 0.66202 0.75672 0.32096 0.80131 0.73903
"39" 0.66392 0.67307 0.65580 0.67443 0.77363 0.31401 0.82782 0.76651
"40" 0.65626 0.67499 0.67460 0.65752 0.76548 0.32374 0.82908 0.76567
"41" 0.65922 0.66602 0.66534 0.67562 0.77176 0.31647 0.82332 0.77557
"42" 0.65639 0.66287 0.66999 0.67661 0.76756 0.32155 0.83572 0.7569
"43" 0.65555 0.65734 0.67879 0.66809 0.77342 0.31484 0.82935 0.77755
"44" 0.65501 0.66121 0.64926 0.65460 0.76232 0.31927 0.83163 0.76712
"45" 0.65565 0.66649 0.66733 0.68007 0.77252 0.32373 0.82345 0.75039
"46" 0.67384 0.65263 0.66232 0.67550 0.77167 0.32733 0.81792 0.76564
"47" 0.65763 0.66267 0.65357 0.66686 0.76233 0.33044 0.81262 0.76324
"48" 0.66793 0.64590 0.66492 0.67483 0.76112 0.31780 0.81604 0.745
"49" 0.65454 0.67813 0.64068 0.67416 0.76334 0.30974 0.81899 0.73843
"50" 0.64380 0.67709 0.65705 0.65813 0.76249 0.31960 0.81323 0.75285
"51" 0.64467 0.65296 0.66491 0.65253 0.74920 0.31292 0.80828 0.73471
"52" 0.64966 0.66534 0.66402 0.65807 0.75966 0.31720 0.83363 0.73506
"53" 0.65507 0.66560 0.66523 0.65767 0.75407 0.31717 0.81622 0.76872
"54" 0.65324 0.64596 0.65189 0.66985 0.75273 0.31395 0.78760 0.72704
"55" 0.67090 0.65174 0.66952 0.67493 0.76617 0.32155 0.83434 0.7572
"56" 0.66349 0.65451 0.66025 0.67428 0.76182 0.31502 0.81342 0.74589
"57" 0.66747 0.65740 0.66982 0.67261 0.75514 0.32457 0.80303 0.76689
"58" 0.66500 0.67625 0.65403 0.66967 0.76434 0.32624 0.80931 0.76289
"59" 0.67638 0.66545 0.68052 0.67566 0.78254 0.33841 0.83385 0.75479
"60" 0.66101 0.67009 0.67142 0.69963 0.77778 0.32089 0.83701 0.77111
"61" 0.65420 0.65598 0.67339 0.66768 0.75967 0.32117 0.81203 0.75137
"62" 0.67748 0.66137 0.65968 0.68206 0.77467 0.32582 0.82090 0.75482
"63" 0.66352 0.66031 0.67064 0.66765 0.76523 0.33705 0.81615 0.74952
"64" 0.63725 0.65331 0.66168 0.67806 0.75876 0.31333 0.82575 0.75784
"65" 0.67002 0.66588 0.65100 0.66700 0.78676 0.32953 0.82620 0.76134
"66" 0.67787 0.66920 0.65476 0.67370 0.77467 0.32374 0.81115 0.77717
"67" 0.66093 0.65607 0.65372 0.67761 0.76449 0.32052 0.81863 0.75406
"68" 0.67038 0.65948 0.65651 0.67609 0.77488 0.32580 0.82060 0.74121
"69" 0.66238 0.67455 0.67366 0.68197 0.76395 0.31891 0.82358 0.77032
"70" 0.66343 0.65420 0.66298 0.68376 0.76690 0.31495 0.81087 0.76683
"71" 0.66028 0.65595 0.65673 0.68004 0.76839 0.31968 0.80578 0.74254
"72" 0.66531 0.66810 0.67222 0.66027 0.77005 0.31375 0.81723 0.75122
"73" 0.66561 0.65992 0.66148 0.71231 0.75843 0.32464 0.81746 0.76956
"74" 0.67064 0.64923 0.65868 0.67357 0.77597 0.31931 0.83097 0.74837
"75" 0.66998 0.65091 0.66245 0.66623 0.78499 0.32775 0.82654 0.77575
