"ga.eprr.0.8" "ga.eprr.0.9" "ga.epr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1"  0.45860 0.42730 0.47056 0.55269 0.56864 0.49677 0.37903 0.50581
"2"  0.40989 0.36590 0.51907 0.52799 0.52602 0.49419 0.35793 0.52255
"3"  0.33175 0.50611 0.54798 0.43091 0.39437 0.38769 0.26673 0.39190
"4"  0.54571 0.38629 0.51937 0.42129 0.39738 0.41873 0.30984 0.41909
"5"  0.35111 0.66056 0.42318 0.48514 0.46544 0.53991 0.29582 0.50147
"6"  0.65747 0.42512 0.41138 0.56639 0.63411 0.54880 0.38901 0.49879
"7"  0.50797 0.50649 0.55210 0.54680 0.59172 0.48073 0.36501 0.46311
"8"  0.64101 0.71272 0.75361 0.62010 0.66043 0.55181 0.42952 0.53663
"9"  0.57577 0.90618 0.54185 0.47157 0.48314 0.46638 0.30002 0.48755
"10" 0.37373 0.46616 0.43675 0.50133 0.46514 0.45441 0.31817 0.46610
"11" 0.53092 0.39268 0.59687 0.53911 0.54436 0.58687 0.35444 0.51456
"12" 0.44628 0.52102 0.41993 0.50701 0.52598 0.50492 0.34654 0.46325
"13" 0.34088 0.48688 0.63668 0.45828 0.46012 0.54786 0.32325 0.46024
"14" 0.43015 0.36962 0.53219 0.49886 0.49784 0.46181 0.33881 0.51256
"15" 0.60901 0.54285 0.53462 0.60090 0.66605 0.63776 0.43406 0.59695
"16" 0.41780 0.32047 0.49879 0.53074 0.57468 0.45405 0.34272 0.53487
"17" 0.78380 1.00370 0.55143 0.52468 0.55651 0.49386 0.36247 0.49275
"18" 0.65738 0.82627 0.52480 0.50361 0.53864 0.51196 0.32743 0.51461
"19" 0.36963 0.43112 0.52654 0.46902 0.44930 0.50160 0.33127 0.48095
"20" 0.54492 0.52153 0.55205 0.56393 0.60182 0.58913 0.46283 0.54215
"21" 0.59425 0.53497 0.62597 0.64079 0.68753 0.57842 0.43069 0.57979
"22" 0.42380 0.61474 0.51618 0.48818 0.46731 0.51494 0.33253 0.46140
"23" 0.40440 0.67311 0.47587 0.51548 0.51555 0.42251 0.32987 0.40884
"24" 0.43037 0.50443 0.59790 0.53443 0.57202 0.52706 0.33404 0.50895
"25" 0.52555 0.45992 0.54469 0.59233 0.65358 0.60623 0.48222 0.46075
"26" 0.65083 0.46656 0.75981 0.64054 0.68477 0.56404 0.41893 0.53991
"27" 0.41505 0.96364 0.42554 0.48719 0.50515 0.44499 0.33069 0.42264
"28" 0.78986 0.40268 0.33509 0.53089 0.54324 0.46120 0.33445 0.52174
"29" 0.40581 0.75061 0.86863 0.54083 0.58604 0.56113 0.37959 0.61468
"30" 0.64880 1.01833 0.49739 0.47773 0.49176 0.50638 0.36084 0.59698
"31" 0.44506 0.61874 0.42489 0.46834 0.50540 0.51939 0.32373 0.50331
"32" 0.47506 0.71927 0.37714 0.54912 0.55193 0.51983 0.32514 0.49108
"33" 0.44343 0.41721 0.35156 0.51518 0.49007 0.50634 0.34036 0.50165
"34" 0.43726 0.52775 0.45787 0.56591 0.58434 0.42948 0.43668 0.52235
"35" 0.59049 0.46630 0.49579 0.61226 0.64570 0.61782 0.43706 0.60908
"36" 0.55658 0.41842 0.59502 0.62991 0.67307 0.61102 0.47907 0.61091
"37" 0.41852 0.40190 0.72929 0.54310 0.47906 0.47079 0.29433 0.43348
"38" 0.82430 0.50553 0.50075 0.47455 0.47828 0.40661 0.31078 0.49667
"39" 0.37829 0.41929 0.78960 0.52472 0.52821 0.52282 0.34125 0.54641
"40" 0.56026 0.66099 0.44231 0.52581 0.56105 0.58808 0.40619 0.47089
"41" 0.50172 0.41810 0.47192 0.50001 0.46521 0.53315 0.33144 0.47691
"42" 0.57298 0.74167 0.76244 0.61174 0.64036 0.58751 0.38986 0.56592
"43" 0.36256 0.52682 0.70985 0.44660 0.41366 0.45640 0.30065 0.43457
"44" 0.39223 0.63184 0.45305 0.48101 0.47202 0.58992 0.35487 0.50946
"45" 0.82140 0.86549 0.51856 0.49746 0.50721 0.51763 0.33068 0.44075
"46" 0.36638 0.54264 0.60103 0.43446 0.41738 0.57384 0.33995 0.55219
"47" 0.58529 0.39998 0.69746 0.50876 0.50416 0.52220 0.30820 0.49063
"48" 0.85394 0.98071 0.41720 0.42160 0.43479 0.41400 0.24450 0.40627
"49" 0.43063 0.59877 0.47433 0.47939 0.48297 0.47050 0.32801 0.44917
"50" 0.46829 0.85192 0.47639 0.57188 0.62617 0.58875 0.48895 0.56165
"51" 0.42082 0.52919 0.41136 0.48478 0.46945 0.50642 0.33906 0.40242
"52" 0.70797 1.16030 0.96018 0.67733 0.73177 0.67902 0.51217 0.63184
"53" 0.51014 0.91632 0.37157 0.47166 0.46406 0.46788 0.32370 0.52189
"54" 0.69792 1.12063 0.53464 0.55418 0.59326 0.46413 0.35844 0.49393
"55" 0.43545 0.47482 0.48559 0.52167 0.54588 0.50814 0.35918 0.41795
"56" 0.54878 0.34862 0.49707 0.49313 0.51261 0.53685 0.36020 0.45231
"57" 0.53903 0.45506 0.55914 0.54177 0.54177 0.48830 0.34055 0.51268
"58" 0.67735 0.52465 0.61142 0.54921 0.57901 0.57151 0.45538 0.49656
"59" 0.71476 0.34888 0.71162 0.62029 0.65719 0.57038 0.39846 0.50610
"60" 0.59223 0.53218 0.40827 0.59371 0.60530 0.61756 0.43717 0.66291
"61" 0.64727 0.43966 0.92656 0.58918 0.64668 0.58140 0.41392 0.56255
"62" 0.57522 0.47897 0.58870 0.52359 0.54630 0.53183 0.39418 0.54035
"63" 0.45196 0.39423 0.52477 0.55278 0.60160 0.54331 0.38246 0.55013
"64" 0.52848 0.45475 0.67783 0.50890 0.48623 0.51151 0.33023 0.47421
"65" 0.62483 0.50638 0.35813 0.53227 0.55714 0.50640 0.34944 0.46914
"66" 0.41992 0.40358 0.48800 0.49295 0.50287 0.48946 0.31627 0.47618
"67" 0.50410 0.61794 0.46707 0.49137 0.46942 0.53933 0.31539 0.47952
"68" 0.52743 0.44502 0.42650 0.65273 0.68737 0.58685 0.47288 0.57437
"69" 0.47942 0.45406 0.47908 0.57271 0.61147 0.64686 0.53183 0.63201
"70" 0.50116 0.54592 0.73142 0.61073 0.66783 0.57245 0.47765 0.61341
"71" 0.70427 0.46946 0.36056 0.54454 0.58550 0.51103 0.38474 0.50919
"72" 0.37289 0.50156 0.42944 0.48012 0.47070 0.50204 0.31564 0.50730
"73" 0.42433 0.48697 0.43813 0.59607 0.62004 0.58495 0.42880 0.60381
"74" 0.67033 0.55243 0.62829 0.51099 0.50998 0.46728 0.32865 0.44106
"75" 0.52350 0.83168 0.61087 0.54955 0.58348 0.49591 0.38318 0.47609
