"iteration" "lambda0.8" "lambda0.975" "lambda1"
"1" 1 0.49707 0.45577 0.4712
"2" 2 0.4807 0.45577 0.471
"3" 3 0.48006 0.45577 0.4595
"4" 4 0.49637 0.45365 0.4595
"5" 5 0.49637 0.45365 0.44118
"6" 6 0.48809 0.44411 0.44118
"7" 7 0.45549 0.43112 0.44118
"8" 8 0.45549 0.43112 0.4367
"9" 9 0.43616 0.43112 0.4367
"10" 10 0.42798 0.43112 0.4367
"11" 11 0.42755 0.43112 0.4367
"12" 12 0.41051 0.43112 0.4367
"13" 13 0.41018 0.43142 0.4367
"14" 14 0.41018 0.43142 0.4367
"15" 15 0.40029 0.43142 0.42606
"16" 16 0.40029 0.41857 0.42606
"17" 17 0.40029 0.41857 0.42606
"18" 18 0.40029 0.41857 0.42606
"19" 19 0.40029 0.40434 0.42606
"20" 20 0.40029 0.40434 0.42606
"21" 21 0.40029 0.40434 0.42606
"22" 22 0.40029 0.40434 0.42606
"23" 23 0.40029 0.39674 0.42606
"24" 24 0.40029 0.39674 0.42606
"25" 25 0.40029 0.39674 0.42606
"26" 26 0.40029 0.39674 0.42606
"27" 27 0.40029 0.39674 0.42606
"28" 28 0.40029 0.39674 0.42355
"29" 29 0.40029 0.39674 0.42355
"30" 30 0.40029 0.39674 0.42355
"31" 31 0.40029 0.39674 0.42355
"32" 32 0.40029 0.39674 0.42355
"33" 33 0.40029 0.39674 0.42355
"34" 34 0.40029 0.39674 0.42355
"35" 35 0.40029 0.39674 0.42355
"36" 36 0.40029 0.39674 0.42355
"37" 37 0.40029 0.39674 0.42355
"38" 38 0.40029 0.39674 0.42355
"39" 39 0.40029 0.39674 0.41743
"40" 40 0.40029 0.40232 0.41743
"41" 41 0.40029 0.40232 0.41743
"42" 42 0.40029 0.40232 0.41743
"43" 43 0.40029 0.40232 0.41743
"44" 44 0.40029 0.39964 0.41743
"45" 45 0.40029 0.39669 0.41743
"46" 46 0.40029 0.39669 0.41743
"47" 47 0.39348 0.39623 0.41743
"48" 48 0.39348 0.39623 0.41743
"49" 49 0.39348 0.39623 0.41743
"50" 50 0.39348 0.39623 0.41743
"51" 51 0.39348 0.39623 0.41743
"52" 52 0.39348 0.39623 0.41743
"53" 53 0.39348 0.39623 0.41743
"54" 54 0.39348 0.39623 0.41743
"55" 55 0.39348 0.39623 0.41743
"56" 56 0.39348 0.39623 0.41743
"57" 57 0.39348 0.39178 0.41743
"58" 58 0.39345 0.39178 0.41743
"59" 59 0.39345 0.39178 0.41743
"60" 60 0.39345 0.39178 0.41395
"61" 61 0.39345 0.39178 0.41395
"62" 62 0.39206 0.39178 0.41395
"63" 63 0.39206 0.39178 0.41395
"64" 64 0.39206 0.39178 0.40962
"65" 65 0.39206 0.39178 0.40962
"66" 66 0.39206 0.39178 0.40962
"67" 67 0.39206 0.39178 0.40962
"68" 68 0.39206 0.39178 0.40962
"69" 69 0.39206 0.39178 0.40962
"70" 70 0.39206 0.39178 0.40962
"71" 71 0.39206 0.39178 0.40962
"72" 72 0.39206 0.39178 0.40962
"73" 73 0.38919 0.39178 0.40962
"74" 74 0.38919 0.39178 0.40962
