"ga.poly" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"1" 0.678759253657104 0.688084200395181 0.694778095085195 0.758492796395928 0.678498695499334 0.717844247935661
"2" 0.724295726144085 0.738364682776154 0.751899402272068 0.780352118365954 0.679779746725426 0.731043892317115
"3" 0.676420486417673 0.688629652086736 0.697749228863338 0.743751048950789 0.663774519446888 0.710476453268999
"4" 0.716197840774275 0.715330212623741 0.734816873751383 0.774193554386287 0.685072558753822 0.746171014074533
"5" 0.679353790300582 0.693348446519002 0.7076438898097 0.770443201032717 0.677149027650061 0.723152843287526
"6" 0.664457871989539 0.695343673991993 0.704057618819599 0.744153574607904 0.65418422281918 0.703828180792848
"7" 0.73083678695401 0.732469879853949 0.748952485745011 0.783800706778161 0.716397310857863 0.749212456395306
"8" 0.696181251535183 0.697519500498244 0.714533602165419 0.773105030981238 0.684438153993548 0.732592641128716
"9" 0.702163479895461 0.72370918868601 0.730255967018205 0.764571013240547 0.676430442606669 0.728413257221381
"10" 0.670901128452675 0.682099998480489 0.685701294498605 0.752879064746846 0.674770987419904 0.722759680924122
"11" 0.649352208995105 0.650826126381388 0.662640893419921 0.717233104672307 0.64128904072663 0.670541723988148
"12" 0.681307856180358 0.686573011064107 0.694210196305724 0.742902868479895 0.668521640345495 0.711547431650494
"13" 0.694490322111846 0.713815072558169 0.716885329880358 0.750293613476423 0.687441599698001 0.72044034294356
"14" 0.705216375378657 0.699056312048965 0.715964903081406 0.752557460832971 0.688122755924473 0.730924246961249
"15" 0.674968463227286 0.705542308641672 0.712242071465613 0.741340344430139 0.649078212100193 0.709314765956384
"16" 0.703780055439009 0.705325497123065 0.730162530127263 0.795192286651139 0.705346212979153 0.741718093104693
"17" 0.676542751049173 0.707611367264817 0.715974698063652 0.727160996906074 0.674718631823824 0.709159768119576
"18" 0.673703203785551 0.684465087749168 0.697337113812314 0.758438170252548 0.661891913044252 0.694144760347635
"19" 0.686837799419461 0.687650132583719 0.706589465737444 0.757513829886095 0.678869337136915 0.725923693731151
"20" 0.68925675875016 0.686578283916574 0.699643239563829 0.737953462896015 0.675885884196206 0.731238242259193
"21" 0.712739839908162 0.719195691132955 0.728825887920262 0.778582438649944 0.693509643019884 0.747353242525977
"22" 0.706710634465143 0.70791074684683 0.726641939272606 0.78204878990837 0.698218251711159 0.75537289988429
"23" 0.700284564214979 0.727801943253966 0.732121991600354 0.752164267628783 0.682669965624325 0.715867145311372
"24" 0.680016614275293 0.682036437369571 0.686876360428578 0.759376413225633 0.684313833579961 0.716557609713512
"25" 0.689662777503073 0.680774212455217 0.691182907450619 0.752506789826019 0.672476773733125 0.729670162757961
